232:	test: 0.8393161	best: 0.8393161 (232)	total: 16m 36s	remaining: 19m 2s
233:	test: 0.8393752	best: 0.8393752 (233)	total: 16m 40s	remaining: 18m 57s
234:	test: 0.8394385	best: 0.8394385 (234)	total: 16m 44s	remaining: 18m 52s
235:	test: 0.8394865	best: 0.8394865 (235)	total: 16m 49s	remaining: 18m 49s
236:	test: 0.8395341	best: 0.8395341 (236)	total: 16m 54s	remaining: 18m 46s
237:	test: 0.8395621	best: 0.8395621 (237)	total: 16m 58s	remaining: 18m 41s
238:	test: 0.8396008	best: 0.8396008 (238)	total: 17m 4s	remaining: 18m 38s
239:	test: 0.8396243	best: 0.8396243 (239)	total: 17m 7s	remaining: 18m 33s
240:	test: 0.8396611	best: 0.8396611 (240)	total: 17m 12s	remaining: 18m 29s
241:	test: 0.8397148	best: 0.8397148 (241)	total: 17m 17s	remaining: 18m 26s
242:	test: 0.8398251	best: 0.8398251 (242)	total: 17m 22s	remaining: 18m 22s
243:	test: 0.8398625	best: 0.8398625 (243)	total: 17m 25s	remaining: 18m 16s
244:	test: 0.8399037	best: 0.8399037 (244)	total: 17m 28s	remaining: 18m 11s
245:	test: 0.8399628	best: 0.8399628 (245)	total: 17m 32s	remaining: 18m 6s
246:	test: 0.8400496	best: 0.8400496 (246)	total: 17m 36s	remaining: 18m 1s
247:	test: 0.8400842	best: 0.8400842 (247)	total: 17m 40s	remaining: 17m 57s
248:	test: 0.8401196	best: 0.8401196 (248)	total: 17m 45s	remaining: 17m 54s
249:	test: 0.8401493	best: 0.8401493 (249)	total: 17m 49s	remaining: 17m 49s
250:	test: 0.8401836	best: 0.8401836 (250)	total: 17m 53s	remaining: 17m 45s
251:	test: 0.8402205	best: 0.8402205 (251)	total: 17m 57s	remaining: 17m 40s
252:	test: 0.8402584	best: 0.8402584 (252)	total: 18m 1s	remaining: 17m 35s
253:	test: 0.8402945	best: 0.8402945 (253)	total: 18m 6s	remaining: 17m 32s
254:	test: 0.8403377	best: 0.8403377 (254)	total: 18m 10s	remaining: 17m 27s
255:	test: 0.8403618	best: 0.8403618 (255)	total: 18m 15s	remaining: 17m 24s
256:	test: 0.8404122	best: 0.8404122 (256)	total: 18m 19s	remaining: 17m 19s
257:	test: 0.8404275	best: 0.8404275 (257)	total: 18m 22s	remaining: 17m 13s
258:	test: 0.8404998	best: 0.8404998 (258)	total: 18m 26s	remaining: 17m 9s
259:	test: 0.8405237	best: 0.8405237 (259)	total: 18m 30s	remaining: 17m 5s
260:	test: 0.8405465	best: 0.8405465 (260)	total: 18m 35s	remaining: 17m 1s
261:	test: 0.8405644	best: 0.8405644 (261)	total: 18m 38s	remaining: 16m 56s
262:	test: 0.8406393	best: 0.8406393 (262)	total: 18m 43s	remaining: 16m 52s
263:	test: 0.8406726	best: 0.8406726 (263)	total: 18m 46s	remaining: 16m 47s
264:	test: 0.8407040	best: 0.8407040 (264)	total: 18m 51s	remaining: 16m 43s
265:	test: 0.8407521	best: 0.8407521 (265)	total: 18m 55s	remaining: 16m 39s
266:	test: 0.8407861	best: 0.8407861 (266)	total: 18m 59s	remaining: 16m 34s
267:	test: 0.8408114	best: 0.8408114 (267)	total: 19m 4s	remaining: 16m 31s
268:	test: 0.8408390	best: 0.8408390 (268)	total: 19m 8s	remaining: 16m 25s
269:	test: 0.8408726	best: 0.8408726 (269)	total: 19m 13s	remaining: 16m 22s
270:	test: 0.8409089	best: 0.8409089 (270)	total: 19m 18s	remaining: 16m 19s
271:	test: 0.8409343	best: 0.8409343 (271)	total: 19m 23s	remaining: 16m 15s
272:	test: 0.8409475	best: 0.8409475 (272)	total: 19m 25s	remaining: 16m 9s
273:	test: 0.8409812	best: 0.8409812 (273)	total: 19m 30s	remaining: 16m 5s
274:	test: 0.8410275	best: 0.8410275 (274)	total: 19m 34s	remaining: 16m
275:	test: 0.8410309	best: 0.8410309 (275)	total: 19m 36s	remaining: 15m 54s
276:	test: 0.8410562	best: 0.8410562 (276)	total: 19m 40s	remaining: 15m 50s
277:	test: 0.8410898	best: 0.8410898 (277)	total: 19m 44s	remaining: 15m 45s
278:	test: 0.8411129	best: 0.8411129 (278)	total: 19m 46s	remaining: 15m 40s
279:	test: 0.8411222	best: 0.8411222 (279)	total: 19m 48s	remaining: 15m 33s
280:	test: 0.8411547	best: 0.8411547 (280)	total: 19m 51s	remaining: 15m 28s
281:	test: 0.8411986	best: 0.8411986 (281)	total: 19m 54s	remaining: 15m 23s
282:	test: 0.8412294	best: 0.8412294 (282)	total: 19m 58s	remaining: 15m 18s
283:	test: 0.8412576	best: 0.8412576 (283)	total: 20m 1s	remaining: 15m 14s
284:	test: 0.8413067	best: 0.8413067 (284)	total: 20m 6s	remaining: 15m 9s
285:	test: 0.8413270	best: 0.8413270 (285)	total: 20m 9s	remaining: 15m 4s
286:	test: 0.8413538	best: 0.8413538 (286)	total: 20m 13s	remaining: 15m
287:	test: 0.8413677	best: 0.8413677 (287)	total: 20m 16s	remaining: 14m 55s
288:	test: 0.8413971	best: 0.8413971 (288)	total: 20m 18s	remaining: 14m 49s
289:	test: 0.8414400	best: 0.8414400 (289)	total: 20m 23s	remaining: 14m 46s
290:	test: 0.8414750	best: 0.8414750 (290)	total: 20m 29s	remaining: 14m 42s
291:	test: 0.8415039	best: 0.8415039 (291)	total: 20m 33s	remaining: 14m 38s
292:	test: 0.8415289	best: 0.8415289 (292)	total: 20m 35s	remaining: 14m 33s
293:	test: 0.8415680	best: 0.8415680 (293)	total: 20m 40s	remaining: 14m 29s
294:	test: 0.8416026	best: 0.8416026 (294)	total: 20m 45s	remaining: 14m 25s
295:	test: 0.8416486	best: 0.8416486 (295)	total: 20m 49s	remaining: 14m 21s
296:	test: 0.8417205	best: 0.8417205 (296)	total: 20m 53s	remaining: 14m 16s
297:	test: 0.8417344	best: 0.8417344 (297)	total: 20m 55s	remaining: 14m 11s
298:	test: 0.8417572	best: 0.8417572 (298)	total: 20m 59s	remaining: 14m 6s
299:	test: 0.8417905	best: 0.8417905 (299)	total: 21m 3s	remaining: 14m 2s
300:	test: 0.8417957	best: 0.8417957 (300)	total: 21m 5s	remaining: 13m 56s
301:	test: 0.8418091	best: 0.8418091 (301)	total: 21m 9s	remaining: 13m 52s
302:	test: 0.8418585	best: 0.8418585 (302)	total: 21m 14s	remaining: 13m 48s
303:	test: 0.8418934	best: 0.8418934 (303)	total: 21m 18s	remaining: 13m 44s
304:	test: 0.8419296	best: 0.8419296 (304)	total: 21m 22s	remaining: 13m 40s
305:	test: 0.8419565	best: 0.8419565 (305)	total: 21m 25s	remaining: 13m 35s
306:	test: 0.8419812	best: 0.8419812 (306)	total: 21m 28s	remaining: 13m 30s
307:	test: 0.8419949	best: 0.8419949 (307)	total: 21m 31s	remaining: 13m 24s
308:	test: 0.8420141	best: 0.8420141 (308)	total: 21m 34s	remaining: 13m 20s
309:	test: 0.8420307	best: 0.8420307 (309)	total: 21m 37s	remaining: 13m 15s
310:	test: 0.8420688	best: 0.8420688 (310)	total: 21m 40s	remaining: 13m 10s
311:	test: 0.8421040	best: 0.8421040 (311)	total: 21m 45s	remaining: 13m 6s
