142:	test: 0.9289464	best: 0.9289464 (142)	total: 9m 9s	remaining: 22m 52s
143:	test: 0.9290807	best: 0.9290807 (143)	total: 9m 13s	remaining: 22m 47s
144:	test: 0.9292332	best: 0.9292332 (144)	total: 9m 16s	remaining: 22m 42s
145:	test: 0.9293251	best: 0.9293251 (145)	total: 9m 20s	remaining: 22m 38s
146:	test: 0.9294275	best: 0.9294275 (146)	total: 9m 23s	remaining: 22m 34s
147:	test: 0.9295691	best: 0.9295691 (147)	total: 9m 27s	remaining: 22m 29s
148:	test: 0.9297194	best: 0.9297194 (148)	total: 9m 30s	remaining: 22m 24s
149:	test: 0.9298337	best: 0.9298337 (149)	total: 9m 33s	remaining: 22m 19s
150:	test: 0.9299563	best: 0.9299563 (150)	total: 9m 37s	remaining: 22m 13s
151:	test: 0.9300932	best: 0.9300932 (151)	total: 9m 40s	remaining: 22m 9s
152:	test: 0.9301854	best: 0.9301854 (152)	total: 9m 43s	remaining: 22m 4s
153:	test: 0.9303055	best: 0.9303055 (153)	total: 9m 47s	remaining: 21m 59s
154:	test: 0.9304271	best: 0.9304271 (154)	total: 9m 50s	remaining: 21m 54s
155:	test: 0.9305616	best: 0.9305616 (155)	total: 9m 54s	remaining: 21m 50s
156:	test: 0.9306922	best: 0.9306922 (156)	total: 9m 57s	remaining: 21m 46s
157:	test: 0.9308041	best: 0.9308041 (157)	total: 10m 1s	remaining: 21m 41s
158:	test: 0.9309025	best: 0.9309025 (158)	total: 10m 4s	remaining: 21m 36s
159:	test: 0.9310055	best: 0.9310055 (159)	total: 10m 8s	remaining: 21m 32s
160:	test: 0.9311302	best: 0.9311302 (160)	total: 10m 11s	remaining: 21m 28s
161:	test: 0.9312336	best: 0.9312336 (161)	total: 10m 15s	remaining: 21m 24s
162:	test: 0.9312827	best: 0.9312827 (162)	total: 10m 18s	remaining: 21m 19s
163:	test: 0.9313965	best: 0.9313965 (163)	total: 10m 22s	remaining: 21m 15s
164:	test: 0.9314533	best: 0.9314533 (164)	total: 10m 25s	remaining: 21m 10s
165:	test: 0.9315372	best: 0.9315372 (165)	total: 10m 29s	remaining: 21m 6s
166:	test: 0.9316091	best: 0.9316091 (166)	total: 10m 32s	remaining: 21m 1s
167:	test: 0.9316980	best: 0.9316980 (167)	total: 10m 35s	remaining: 20m 56s
168:	test: 0.9317931	best: 0.9317931 (168)	total: 10m 39s	remaining: 20m 52s
169:	test: 0.9318589	best: 0.9318589 (169)	total: 10m 42s	remaining: 20m 47s
170:	test: 0.9319424	best: 0.9319424 (170)	total: 10m 46s	remaining: 20m 43s
171:	test: 0.9320377	best: 0.9320377 (171)	total: 10m 49s	remaining: 20m 39s
172:	test: 0.9321226	best: 0.9321226 (172)	total: 10m 53s	remaining: 20m 34s
173:	test: 0.9322018	best: 0.9322018 (173)	total: 10m 56s	remaining: 20m 30s
174:	test: 0.9322943	best: 0.9322943 (174)	total: 11m	remaining: 20m 25s
175:	test: 0.9324092	best: 0.9324092 (175)	total: 11m 3s	remaining: 20m 21s
176:	test: 0.9325096	best: 0.9325096 (176)	total: 11m 6s	remaining: 20m 16s
177:	test: 0.9326029	best: 0.9326029 (177)	total: 11m 9s	remaining: 20m 11s
178:	test: 0.9326851	best: 0.9326851 (178)	total: 11m 13s	remaining: 20m 7s
179:	test: 0.9327747	best: 0.9327747 (179)	total: 11m 17s	remaining: 20m 4s
180:	test: 0.9328804	best: 0.9328804 (180)	total: 11m 20s	remaining: 19m 59s
181:	test: 0.9329841	best: 0.9329841 (181)	total: 11m 23s	remaining: 19m 54s
182:	test: 0.9330678	best: 0.9330678 (182)	total: 11m 27s	remaining: 19m 50s
183:	test: 0.9331741	best: 0.9331741 (183)	total: 11m 30s	remaining: 19m 46s
184:	test: 0.9332422	best: 0.9332422 (184)	total: 11m 34s	remaining: 19m 41s
185:	test: 0.9333568	best: 0.9333568 (185)	total: 11m 37s	remaining: 19m 37s
186:	test: 0.9334496	best: 0.9334496 (186)	total: 11m 41s	remaining: 19m 33s
187:	test: 0.9335261	best: 0.9335261 (187)	total: 11m 44s	remaining: 19m 29s
188:	test: 0.9336146	best: 0.9336146 (188)	total: 11m 47s	remaining: 19m 24s
189:	test: 0.9336727	best: 0.9336727 (189)	total: 11m 51s	remaining: 19m 20s
190:	test: 0.9337379	best: 0.9337379 (190)	total: 11m 54s	remaining: 19m 15s
191:	test: 0.9338192	best: 0.9338192 (191)	total: 11m 57s	remaining: 19m 11s
192:	test: 0.9339077	best: 0.9339077 (192)	total: 12m 1s	remaining: 19m 7s
193:	test: 0.9340033	best: 0.9340033 (193)	total: 12m 4s	remaining: 19m 2s
194:	test: 0.9340639	best: 0.9340639 (194)	total: 12m 7s	remaining: 18m 58s
195:	test: 0.9341068	best: 0.9341068 (195)	total: 12m 11s	remaining: 18m 54s
196:	test: 0.9342082	best: 0.9342082 (196)	total: 12m 14s	remaining: 18m 50s
197:	test: 0.9342497	best: 0.9342497 (197)	total: 12m 18s	remaining: 18m 45s
198:	test: 0.9343404	best: 0.9343404 (198)	total: 12m 21s	remaining: 18m 41s
199:	test: 0.9344522	best: 0.9344522 (199)	total: 12m 25s	remaining: 18m 37s
200:	test: 0.9345259	best: 0.9345259 (200)	total: 12m 28s	remaining: 18m 33s
201:	test: 0.9346016	best: 0.9346016 (201)	total: 12m 31s	remaining: 18m 28s
202:	test: 0.9346645	best: 0.9346645 (202)	total: 12m 34s	remaining: 18m 24s
203:	test: 0.9347318	best: 0.9347318 (203)	total: 12m 38s	remaining: 18m 20s
204:	test: 0.9348204	best: 0.9348204 (204)	total: 12m 41s	remaining: 18m 16s
205:	test: 0.9349049	best: 0.9349049 (205)	total: 12m 45s	remaining: 18m 11s
206:	test: 0.9349498	best: 0.9349498 (206)	total: 12m 48s	remaining: 18m 7s
207:	test: 0.9350055	best: 0.9350055 (207)	total: 12m 51s	remaining: 18m 3s
208:	test: 0.9350576	best: 0.9350576 (208)	total: 12m 54s	remaining: 17m 58s
209:	test: 0.9351718	best: 0.9351718 (209)	total: 12m 58s	remaining: 17m 54s
210:	test: 0.9352440	best: 0.9352440 (210)	total: 13m 1s	remaining: 17m 50s
211:	test: 0.9353011	best: 0.9353011 (211)	total: 13m 5s	remaining: 17m 46s
212:	test: 0.9353603	best: 0.9353603 (212)	total: 13m 8s	remaining: 17m 42s
213:	test: 0.9354362	best: 0.9354362 (213)	total: 13m 11s	remaining: 17m 38s
214:	test: 0.9355158	best: 0.9355158 (214)	total: 13m 15s	remaining: 17m 33s
215:	test: 0.9355687	best: 0.9355687 (215)	total: 13m 18s	remaining: 17m 29s
216:	test: 0.9356270	best: 0.9356270 (216)	total: 13m 21s	remaining: 17m 25s
217:	test: 0.9356765	best: 0.9356765 (217)	total: 13m 24s	remaining: 17m 21s
218:	test: 0.9357409	best: 0.9357409 (218)	total: 13m 28s	remaining: 17m 17s
219:	test: 0.9357756	best: 0.9357756 (219)	total: 13m 31s	remaining: 17m 12s
220:	test: 0.9358518	best: 0.9358518 (220)	total: 13m 34s	remaining: 17m 8s
