147:	test: 0.9315411	best: 0.9471144 (32)	total: 15m 27s	remaining: 36m 45s
148:	test: 0.9315460	best: 0.9471144 (32)	total: 15m 37s	remaining: 36m 48s
149:	test: 0.9312841	best: 0.9471144 (32)	total: 15m 49s	remaining: 36m 56s
150:	test: 0.9312673	best: 0.9471144 (32)	total: 15m 57s	remaining: 36m 53s
151:	test: 0.9312689	best: 0.9471144 (32)	total: 16m 2s	remaining: 36m 43s
152:	test: 0.9310992	best: 0.9471144 (32)	total: 16m 8s	remaining: 36m 37s
153:	test: 0.9310986	best: 0.9471144 (32)	total: 16m 16s	remaining: 36m 32s
154:	test: 0.9310979	best: 0.9471144 (32)	total: 16m 18s	remaining: 36m 18s
155:	test: 0.9311103	best: 0.9471144 (32)	total: 16m 24s	remaining: 36m 11s
156:	test: 0.9311099	best: 0.9471144 (32)	total: 16m 32s	remaining: 36m 7s
157:	test: 0.9311100	best: 0.9471144 (32)	total: 16m 35s	remaining: 35m 54s
158:	test: 0.9311077	best: 0.9471144 (32)	total: 16m 38s	remaining: 35m 41s
159:	test: 0.9311033	best: 0.9471144 (32)	total: 16m 43s	remaining: 35m 32s
160:	test: 0.9311012	best: 0.9471144 (32)	total: 16m 45s	remaining: 35m 17s
161:	test: 0.9310652	best: 0.9471144 (32)	total: 16m 47s	remaining: 35m 3s
162:	test: 0.9310705	best: 0.9471144 (32)	total: 16m 50s	remaining: 34m 48s
163:	test: 0.9310619	best: 0.9471144 (32)	total: 16m 52s	remaining: 34m 35s
164:	test: 0.9310581	best: 0.9471144 (32)	total: 16m 56s	remaining: 34m 24s
165:	test: 0.9310691	best: 0.9471144 (32)	total: 17m 1s	remaining: 34m 14s
166:	test: 0.9310651	best: 0.9471144 (32)	total: 17m 5s	remaining: 34m 4s
167:	test: 0.9310662	best: 0.9471144 (32)	total: 17m 7s	remaining: 33m 50s
168:	test: 0.9310578	best: 0.9471144 (32)	total: 17m 12s	remaining: 33m 43s
169:	test: 0.9310592	best: 0.9471144 (32)	total: 17m 15s	remaining: 33m 30s
170:	test: 0.9310678	best: 0.9471144 (32)	total: 17m 20s	remaining: 33m 21s
171:	test: 0.9310782	best: 0.9471144 (32)	total: 17m 27s	remaining: 33m 16s
172:	test: 0.9310760	best: 0.9471144 (32)	total: 17m 29s	remaining: 33m 3s
173:	test: 0.9310759	best: 0.9471144 (32)	total: 17m 31s	remaining: 32m 49s
174:	test: 0.9310794	best: 0.9471144 (32)	total: 17m 35s	remaining: 32m 41s
175:	test: 0.9310808	best: 0.9471144 (32)	total: 17m 38s	remaining: 32m 28s
176:	test: 0.9310825	best: 0.9471144 (32)	total: 17m 40s	remaining: 32m 15s
177:	test: 0.9310825	best: 0.9471144 (32)	total: 17m 42s	remaining: 32m 2s
178:	test: 0.9310890	best: 0.9471144 (32)	total: 17m 45s	remaining: 31m 50s
179:	test: 0.9309650	best: 0.9471144 (32)	total: 17m 54s	remaining: 31m 50s
180:	test: 0.9309286	best: 0.9471144 (32)	total: 18m	remaining: 31m 43s
181:	test: 0.9309254	best: 0.9471144 (32)	total: 18m 2s	remaining: 31m 30s
182:	test: 0.9309332	best: 0.9471144 (32)	total: 18m 5s	remaining: 31m 20s
183:	test: 0.9307399	best: 0.9471144 (32)	total: 18m 18s	remaining: 31m 25s
184:	test: 0.9305752	best: 0.9471144 (32)	total: 18m 26s	remaining: 31m 23s
185:	test: 0.9305783	best: 0.9471144 (32)	total: 18m 28s	remaining: 31m 11s
186:	test: 0.9305833	best: 0.9471144 (32)	total: 18m 30s	remaining: 30m 58s
187:	test: 0.9305790	best: 0.9471144 (32)	total: 18m 32s	remaining: 30m 46s
188:	test: 0.9305790	best: 0.9471144 (32)	total: 18m 34s	remaining: 30m 34s
189:	test: 0.9305841	best: 0.9471144 (32)	total: 18m 37s	remaining: 30m 22s
190:	test: 0.9305869	best: 0.9471144 (32)	total: 18m 39s	remaining: 30m 10s
191:	test: 0.9305877	best: 0.9471144 (32)	total: 18m 42s	remaining: 30m 1s
192:	test: 0.9305168	best: 0.9471144 (32)	total: 18m 47s	remaining: 29m 54s
193:	test: 0.9305171	best: 0.9471144 (32)	total: 18m 49s	remaining: 29m 42s
194:	test: 0.9305156	best: 0.9471144 (32)	total: 18m 53s	remaining: 29m 32s
195:	test: 0.9305114	best: 0.9471144 (32)	total: 18m 57s	remaining: 29m 23s
196:	test: 0.9303427	best: 0.9471144 (32)	total: 19m 2s	remaining: 29m 16s
