179:	test: 0.9409245	best: 0.9409245 (179)	total: 39.4s	remaining: 1m 9s
180:	test: 0.9410402	best: 0.9410402 (180)	total: 39.6s	remaining: 1m 9s
181:	test: 0.9411033	best: 0.9411033 (181)	total: 39.8s	remaining: 1m 9s
182:	test: 0.9411719	best: 0.9411719 (182)	total: 40s	remaining: 1m 9s
183:	test: 0.9412388	best: 0.9412388 (183)	total: 40.2s	remaining: 1m 9s
184:	test: 0.9413302	best: 0.9413302 (184)	total: 40.4s	remaining: 1m 8s
185:	test: 0.9414220	best: 0.9414220 (185)	total: 40.6s	remaining: 1m 8s
186:	test: 0.9415131	best: 0.9415131 (186)	total: 40.8s	remaining: 1m 8s
187:	test: 0.9415732	best: 0.9415732 (187)	total: 41.1s	remaining: 1m 8s
188:	test: 0.9416511	best: 0.9416511 (188)	total: 41.3s	remaining: 1m 7s
189:	test: 0.9417118	best: 0.9417118 (189)	total: 41.5s	remaining: 1m 7s
190:	test: 0.9417645	best: 0.9417645 (190)	total: 41.7s	remaining: 1m 7s
191:	test: 0.9418057	best: 0.9418057 (191)	total: 41.9s	remaining: 1m 7s
192:	test: 0.9418903	best: 0.9418903 (192)	total: 42.1s	remaining: 1m 6s
193:	test: 0.9419442	best: 0.9419442 (193)	total: 42.3s	remaining: 1m 6s
194:	test: 0.9420245	best: 0.9420245 (194)	total: 42.5s	remaining: 1m 6s
195:	test: 0.9420771	best: 0.9420771 (195)	total: 42.7s	remaining: 1m 6s
196:	test: 0.9421424	best: 0.9421424 (196)	total: 43s	remaining: 1m 6s
197:	test: 0.9422294	best: 0.9422294 (197)	total: 43.2s	remaining: 1m 5s
198:	test: 0.9422988	best: 0.9422988 (198)	total: 43.4s	remaining: 1m 5s
199:	test: 0.9423857	best: 0.9423857 (199)	total: 43.6s	remaining: 1m 5s
200:	test: 0.9424439	best: 0.9424439 (200)	total: 43.8s	remaining: 1m 5s
201:	test: 0.9425163	best: 0.9425163 (201)	total: 44s	remaining: 1m 4s
202:	test: 0.9425930	best: 0.9425930 (202)	total: 44.2s	remaining: 1m 4s
203:	test: 0.9426544	best: 0.9426544 (203)	total: 44.4s	remaining: 1m 4s
204:	test: 0.9427077	best: 0.9427077 (204)	total: 44.6s	remaining: 1m 4s
205:	test: 0.9427562	best: 0.9427562 (205)	total: 44.8s	remaining: 1m 3s
206:	test: 0.9428107	best: 0.9428107 (206)	total: 45s	remaining: 1m 3s
207:	test: 0.9428871	best: 0.9428871 (207)	total: 45.3s	remaining: 1m 3s
208:	test: 0.9429559	best: 0.9429559 (208)	total: 45.5s	remaining: 1m 3s
209:	test: 0.9430109	best: 0.9430109 (209)	total: 45.7s	remaining: 1m 3s
210:	test: 0.9430335	best: 0.9430335 (210)	total: 45.9s	remaining: 1m 2s
211:	test: 0.9431017	best: 0.9431017 (211)	total: 46.1s	remaining: 1m 2s
212:	test: 0.9431601	best: 0.9431601 (212)	total: 46.3s	remaining: 1m 2s
213:	test: 0.9432239	best: 0.9432239 (213)	total: 46.5s	remaining: 1m 2s
214:	test: 0.9432633	best: 0.9432633 (214)	total: 46.7s	remaining: 1m 1s
215:	test: 0.9433364	best: 0.9433364 (215)	total: 46.9s	remaining: 1m 1s
216:	test: 0.9433831	best: 0.9433831 (216)	total: 47.1s	remaining: 1m 1s
217:	test: 0.9434419	best: 0.9434419 (217)	total: 47.3s	remaining: 1m 1s
218:	test: 0.9435116	best: 0.9435116 (218)	total: 47.6s	remaining: 1m 1s
219:	test: 0.9435686	best: 0.9435686 (219)	total: 47.8s	remaining: 1m
220:	test: 0.9436123	best: 0.9436123 (220)	total: 48s	remaining: 1m
221:	test: 0.9436792	best: 0.9436792 (221)	total: 48.2s	remaining: 1m
222:	test: 0.9437445	best: 0.9437445 (222)	total: 48.4s	remaining: 1m
223:	test: 0.9437866	best: 0.9437866 (223)	total: 48.6s	remaining: 59.9s
224:	test: 0.9438300	best: 0.9438300 (224)	total: 48.8s	remaining: 59.6s
225:	test: 0.9438840	best: 0.9438840 (225)	total: 49s	remaining: 59.4s
226:	test: 0.9439228	best: 0.9439228 (226)	total: 49.2s	remaining: 59.2s
227:	test: 0.9439756	best: 0.9439756 (227)	total: 49.4s	remaining: 58.9s
228:	test: 0.9440112	best: 0.9440112 (228)	total: 49.6s	remaining: 58.7s
229:	test: 0.9440764	best: 0.9440764 (229)	total: 49.8s	remaining: 58.5s
230:	test: 0.9441113	best: 0.9441113 (230)	total: 50.1s	remaining: 58.3s
231:	test: 0.9441688	best: 0.9441688 (231)	total: 50.3s	remaining: 58.1s
232:	test: 0.9441947	best: 0.9441947 (232)	total: 50.5s	remaining: 57.9s
233:	test: 0.9442455	best: 0.9442455 (233)	total: 50.7s	remaining: 57.7s
234:	test: 0.9442726	best: 0.9442726 (234)	total: 50.9s	remaining: 57.4s
235:	test: 0.9443238	best: 0.9443238 (235)	total: 51.1s	remaining: 57.2s
236:	test: 0.9443709	best: 0.9443709 (236)	total: 51.3s	remaining: 57s
237:	test: 0.9443939	best: 0.9443939 (237)	total: 51.5s	remaining: 56.7s
238:	test: 0.9444500	best: 0.9444500 (238)	total: 51.8s	remaining: 56.5s
239:	test: 0.9444954	best: 0.9444954 (239)	total: 52s	remaining: 56.3s
240:	test: 0.9445412	best: 0.9445412 (240)	total: 52.2s	remaining: 56.1s
241:	test: 0.9445851	best: 0.9445851 (241)	total: 52.4s	remaining: 55.8s
242:	test: 0.9446192	best: 0.9446192 (242)	total: 52.6s	remaining: 55.6s
243:	test: 0.9446337	best: 0.9446337 (243)	total: 52.8s	remaining: 55.4s
244:	test: 0.9446709	best: 0.9446709 (244)	total: 53s	remaining: 55.1s
245:	test: 0.9447091	best: 0.9447091 (245)	total: 53.2s	remaining: 54.9s
246:	test: 0.9447272	best: 0.9447272 (246)	total: 53.4s	remaining: 54.7s
247:	test: 0.9447711	best: 0.9447711 (247)	total: 53.6s	remaining: 54.5s
248:	test: 0.9448020	best: 0.9448020 (248)	total: 53.8s	remaining: 54.2s
249:	test: 0.9448456	best: 0.9448456 (249)	total: 54s	remaining: 54s
250:	test: 0.9448780	best: 0.9448780 (250)	total: 54.2s	remaining: 53.8s
251:	test: 0.9449231	best: 0.9449231 (251)	total: 54.4s	remaining: 53.5s
252:	test: 0.9449446	best: 0.9449446 (252)	total: 54.6s	remaining: 53.3s
253:	test: 0.9449694	best: 0.9449694 (253)	total: 54.8s	remaining: 53.1s
254:	test: 0.9449946	best: 0.9449946 (254)	total: 55.1s	remaining: 52.9s
255:	test: 0.9450133	best: 0.9450133 (255)	total: 55.3s	remaining: 52.7s
256:	test: 0.9450533	best: 0.9450533 (256)	total: 55.5s	remaining: 52.5s
257:	test: 0.9450862	best: 0.9450862 (257)	total: 55.7s	remaining: 52.2s
258:	test: 0.9451306	best: 0.9451306 (258)	total: 55.9s	remaining: 52s
259:	test: 0.9451786	best: 0.9451786 (259)	total: 56.1s	remaining: 51.8s
260:	test: 0.9451817	best: 0.9451817 (260)	total: 56.3s	remaining: 51.6s
261:	test: 0.9452019	best: 0.9452019 (261)	total: 56.5s	remaining: 51.4s
262:	test: 0.9452320	best: 0.9452320 (262)	total: 56.7s	remaining: 51.1s
263:	test: 0.9452569	best: 0.9452569 (263)	total: 56.9s	remaining: 50.9s
264:	test: 0.9452868	best: 0.9452868 (264)	total: 57.1s	remaining: 50.7s
265:	test: 0.9453228	best: 0.9453228 (265)	total: 57.3s	remaining: 50.4s
266:	test: 0.9453437	best: 0.9453437 (266)	total: 57.5s	remaining: 50.2s
267:	test: 0.9453705	best: 0.9453705 (267)	total: 57.8s	remaining: 50s
268:	test: 0.9454203	best: 0.9454203 (268)	total: 58s	remaining: 49.8s
269:	test: 0.9454411	best: 0.9454411 (269)	total: 58.2s	remaining: 49.6s
270:	test: 0.9454699	best: 0.9454699 (270)	total: 58.4s	remaining: 49.3s
271:	test: 0.9454977	best: 0.9454977 (271)	total: 58.6s	remaining: 49.1s
272:	test: 0.9455521	best: 0.9455521 (272)	total: 58.8s	remaining: 48.9s
273:	test: 0.9455820	best: 0.9455820 (273)	total: 59s	remaining: 48.7s
274:	test: 0.9456127	best: 0.9456127 (274)	total: 59.2s	remaining: 48.4s
275:	test: 0.9456451	best: 0.9456451 (275)	total: 59.4s	remaining: 48.2s
276:	test: 0.9456689	best: 0.9456689 (276)	total: 59.6s	remaining: 48s
277:	test: 0.9457101	best: 0.9457101 (277)	total: 59.8s	remaining: 47.8s
278:	test: 0.9457449	best: 0.9457449 (278)	total: 1m	remaining: 47.6s
279:	test: 0.9457623	best: 0.9457623 (279)	total: 1m	remaining: 47.3s
280:	test: 0.9457793	best: 0.9457793 (280)	total: 1m	remaining: 47.1s
281:	test: 0.9458035	best: 0.9458035 (281)	total: 1m	remaining: 46.9s
282:	test: 0.9458583	best: 0.9458583 (282)	total: 1m	remaining: 46.7s
283:	test: 0.9458780	best: 0.9458780 (283)	total: 1m 1s	remaining: 46.5s
284:	test: 0.9458959	best: 0.9458959 (284)	total: 1m 1s	remaining: 46.2s
285:	test: 0.9459270	best: 0.9459270 (285)	total: 1m 1s	remaining: 46s
286:	test: 0.9459583	best: 0.9459583 (286)	total: 1m 1s	remaining: 45.8s
287:	test: 0.9459810	best: 0.9459810 (287)	total: 1m 1s	remaining: 45.6s
288:	test: 0.9460050	best: 0.9460050 (288)	total: 1m 2s	remaining: 45.4s
289:	test: 0.9460363	best: 0.9460363 (289)	total: 1m 2s	remaining: 45.2s
290:	test: 0.9460758	best: 0.9460758 (290)	total: 1m 2s	remaining: 45s
291:	test: 0.9461153	best: 0.9461153 (291)	total: 1m 2s	remaining: 44.7s
292:	test: 0.9461386	best: 0.9461386 (292)	total: 1m 3s	remaining: 44.5s
293:	test: 0.9461704	best: 0.9461704 (293)	total: 1m 3s	remaining: 44.3s
294:	test: 0.9461942	best: 0.9461942 (294)	total: 1m 3s	remaining: 44.1s
295:	test: 0.9462287	best: 0.9462287 (295)	total: 1m 3s	remaining: 43.9s
296:	test: 0.9462652	best: 0.9462652 (296)	total: 1m 3s	remaining: 43.6s
297:	test: 0.9462807	best: 0.9462807 (297)	total: 1m 4s	remaining: 43.4s
298:	test: 0.9462994	best: 0.9462994 (298)	total: 1m 4s	remaining: 43.2s
299:	test: 0.9463167	best: 0.9463167 (299)	total: 1m 4s	remaining: 43s
300:	test: 0.9463342	best: 0.9463342 (300)	total: 1m 4s	remaining: 42.8s
301:	test: 0.9463567	best: 0.9463567 (301)	total: 1m 4s	remaining: 42.5s
302:	test: 0.9464079	best: 0.9464079 (302)	total: 1m 5s	remaining: 42.3s
303:	test: 0.9464268	best: 0.9464268 (303)	total: 1m 5s	remaining: 42.1s
304:	test: 0.9464445	best: 0.9464445 (304)	total: 1m 5s	remaining: 41.9s
305:	test: 0.9464552	best: 0.9464552 (305)	total: 1m 5s	remaining: 41.7s
306:	test: 0.9464828	best: 0.9464828 (306)	total: 1m 5s	remaining: 41.4s
307:	test: 0.9464943	best: 0.9464943 (307)	total: 1m 6s	remaining: 41.2s
308:	test: 0.9465123	best: 0.9465123 (308)	total: 1m 6s	remaining: 41s
309:	test: 0.9465198	best: 0.9465198 (309)	total: 1m 6s	remaining: 40.8s
310:	test: 0.9465563	best: 0.9465563 (310)	total: 1m 6s	remaining: 40.6s
311:	test: 0.9465724	best: 0.9465724 (311)	total: 1m 6s	remaining: 40.4s
312:	test: 0.9465989	best: 0.9465989 (312)	total: 1m 7s	remaining: 40.1s
313:	test: 0.9466220	best: 0.9466220 (313)	total: 1m 7s	remaining: 39.9s
314:	test: 0.9466447	best: 0.9466447 (314)	total: 1m 7s	remaining: 39.7s
315:	test: 0.9466689	best: 0.9466689 (315)	total: 1m 7s	remaining: 39.5s
316:	test: 0.9466920	best: 0.9466920 (316)	total: 1m 7s	remaining: 39.3s
317:	test: 0.9467187	best: 0.9467187 (317)	total: 1m 8s	remaining: 39s
318:	test: 0.9467501	best: 0.9467501 (318)	total: 1m 8s	remaining: 38.8s
319:	test: 0.9467618	best: 0.9467618 (319)	total: 1m 8s	remaining: 38.6s
320:	test: 0.9467749	best: 0.9467749 (320)	total: 1m 8s	remaining: 38.4s
