153:	test: 0.7985382	best: 0.7985382 (153)	total: 1m 19s	remaining: 2m 59s
154:	test: 0.7986051	best: 0.7986051 (154)	total: 1m 20s	remaining: 2m 58s
155:	test: 0.7986412	best: 0.7986412 (155)	total: 1m 20s	remaining: 2m 58s
156:	test: 0.7986906	best: 0.7986906 (156)	total: 1m 21s	remaining: 2m 57s
157:	test: 0.7987313	best: 0.7987313 (157)	total: 1m 21s	remaining: 2m 56s
158:	test: 0.7987773	best: 0.7987773 (158)	total: 1m 22s	remaining: 2m 56s
159:	test: 0.7988313	best: 0.7988313 (159)	total: 1m 22s	remaining: 2m 55s
160:	test: 0.7988550	best: 0.7988550 (160)	total: 1m 23s	remaining: 2m 54s
161:	test: 0.7988983	best: 0.7988983 (161)	total: 1m 23s	remaining: 2m 54s
162:	test: 0.7989449	best: 0.7989449 (162)	total: 1m 23s	remaining: 2m 53s
163:	test: 0.7989722	best: 0.7989722 (163)	total: 1m 24s	remaining: 2m 53s
164:	test: 0.7990147	best: 0.7990147 (164)	total: 1m 24s	remaining: 2m 52s
165:	test: 0.7990490	best: 0.7990490 (165)	total: 1m 25s	remaining: 2m 51s
166:	test: 0.7990881	best: 0.7990881 (166)	total: 1m 25s	remaining: 2m 51s
167:	test: 0.7991462	best: 0.7991462 (167)	total: 1m 26s	remaining: 2m 50s
168:	test: 0.7991790	best: 0.7991790 (168)	total: 1m 26s	remaining: 2m 50s
169:	test: 0.7992103	best: 0.7992103 (169)	total: 1m 27s	remaining: 2m 49s
170:	test: 0.7992471	best: 0.7992471 (170)	total: 1m 27s	remaining: 2m 49s
171:	test: 0.7992665	best: 0.7992665 (171)	total: 1m 28s	remaining: 2m 48s
172:	test: 0.7993195	best: 0.7993195 (172)	total: 1m 28s	remaining: 2m 47s
173:	test: 0.7993470	best: 0.7993470 (173)	total: 1m 29s	remaining: 2m 47s
174:	test: 0.7993831	best: 0.7993831 (174)	total: 1m 29s	remaining: 2m 46s
175:	test: 0.7994107	best: 0.7994107 (175)	total: 1m 30s	remaining: 2m 46s
176:	test: 0.7994307	best: 0.7994307 (176)	total: 1m 30s	remaining: 2m 45s
177:	test: 0.7994775	best: 0.7994775 (177)	total: 1m 30s	remaining: 2m 44s
178:	test: 0.7995178	best: 0.7995178 (178)	total: 1m 31s	remaining: 2m 43s
179:	test: 0.7995463	best: 0.7995463 (179)	total: 1m 31s	remaining: 2m 43s
180:	test: 0.7995768	best: 0.7995768 (180)	total: 1m 32s	remaining: 2m 42s
181:	test: 0.7996091	best: 0.7996091 (181)	total: 1m 32s	remaining: 2m 42s
182:	test: 0.7996535	best: 0.7996535 (182)	total: 1m 33s	remaining: 2m 41s
183:	test: 0.7996839	best: 0.7996839 (183)	total: 1m 33s	remaining: 2m 40s
184:	test: 0.7997217	best: 0.7997217 (184)	total: 1m 34s	remaining: 2m 40s
185:	test: 0.7997515	best: 0.7997515 (185)	total: 1m 34s	remaining: 2m 39s
186:	test: 0.7997772	best: 0.7997772 (186)	total: 1m 35s	remaining: 2m 39s
187:	test: 0.7998053	best: 0.7998053 (187)	total: 1m 35s	remaining: 2m 38s
188:	test: 0.7998341	best: 0.7998341 (188)	total: 1m 36s	remaining: 2m 38s
189:	test: 0.7998610	best: 0.7998610 (189)	total: 1m 36s	remaining: 2m 37s
190:	test: 0.7998957	best: 0.7998957 (190)	total: 1m 36s	remaining: 2m 36s
191:	test: 0.7999330	best: 0.7999330 (191)	total: 1m 37s	remaining: 2m 36s
192:	test: 0.7999683	best: 0.7999683 (192)	total: 1m 37s	remaining: 2m 35s
193:	test: 0.8000011	best: 0.8000011 (193)	total: 1m 38s	remaining: 2m 35s
194:	test: 0.8000445	best: 0.8000445 (194)	total: 1m 38s	remaining: 2m 34s
195:	test: 0.8000687	best: 0.8000687 (195)	total: 1m 39s	remaining: 2m 33s
