159:	test: 0.9393636	best: 0.9393636 (159)	total: 35.1s	remaining: 1m 14s
160:	test: 0.9394575	best: 0.9394575 (160)	total: 35.3s	remaining: 1m 14s
161:	test: 0.9395750	best: 0.9395750 (161)	total: 35.5s	remaining: 1m 14s
162:	test: 0.9396408	best: 0.9396408 (162)	total: 35.7s	remaining: 1m 13s
163:	test: 0.9397278	best: 0.9397278 (163)	total: 35.9s	remaining: 1m 13s
164:	test: 0.9398132	best: 0.9398132 (164)	total: 36.1s	remaining: 1m 13s
165:	test: 0.9399270	best: 0.9399270 (165)	total: 36.3s	remaining: 1m 13s
166:	test: 0.9399945	best: 0.9399945 (166)	total: 36.5s	remaining: 1m 12s
167:	test: 0.9400823	best: 0.9400823 (167)	total: 36.8s	remaining: 1m 12s
168:	test: 0.9401870	best: 0.9401870 (168)	total: 37s	remaining: 1m 12s
169:	test: 0.9402740	best: 0.9402740 (169)	total: 37.2s	remaining: 1m 12s
170:	test: 0.9403297	best: 0.9403297 (170)	total: 37.4s	remaining: 1m 11s
171:	test: 0.9404307	best: 0.9404307 (171)	total: 37.6s	remaining: 1m 11s
172:	test: 0.9405173	best: 0.9405173 (172)	total: 37.8s	remaining: 1m 11s
173:	test: 0.9405783	best: 0.9405783 (173)	total: 38s	remaining: 1m 11s
174:	test: 0.9406410	best: 0.9406410 (174)	total: 38.2s	remaining: 1m 10s
175:	test: 0.9407329	best: 0.9407329 (175)	total: 38.4s	remaining: 1m 10s
176:	test: 0.9407956	best: 0.9407956 (176)	total: 38.6s	remaining: 1m 10s
177:	test: 0.9408746	best: 0.9408746 (177)	total: 38.8s	remaining: 1m 10s
178:	test: 0.9409230	best: 0.9409230 (178)	total: 39s	remaining: 1m 10s
179:	test: 0.9409939	best: 0.9409939 (179)	total: 39.2s	remaining: 1m 9s
180:	test: 0.9410565	best: 0.9410565 (180)	total: 39.5s	remaining: 1m 9s
181:	test: 0.9411328	best: 0.9411328 (181)	total: 39.7s	remaining: 1m 9s
182:	test: 0.9411939	best: 0.9411939 (182)	total: 39.9s	remaining: 1m 9s
183:	test: 0.9412719	best: 0.9412719 (183)	total: 40.2s	remaining: 1m 8s
184:	test: 0.9413652	best: 0.9413652 (184)	total: 40.4s	remaining: 1m 8s
185:	test: 0.9414209	best: 0.9414209 (185)	total: 40.6s	remaining: 1m 8s
186:	test: 0.9414999	best: 0.9414999 (186)	total: 40.8s	remaining: 1m 8s
187:	test: 0.9415663	best: 0.9415663 (187)	total: 41s	remaining: 1m 8s
188:	test: 0.9416674	best: 0.9416674 (188)	total: 41.2s	remaining: 1m 7s
189:	test: 0.9417017	best: 0.9417017 (189)	total: 41.4s	remaining: 1m 7s
190:	test: 0.9417642	best: 0.9417642 (190)	total: 41.6s	remaining: 1m 7s
191:	test: 0.9418473	best: 0.9418473 (191)	total: 41.8s	remaining: 1m 7s
192:	test: 0.9418864	best: 0.9418864 (192)	total: 42s	remaining: 1m 6s
193:	test: 0.9419518	best: 0.9419518 (193)	total: 42.3s	remaining: 1m 6s
194:	test: 0.9420389	best: 0.9420389 (194)	total: 42.5s	remaining: 1m 6s
195:	test: 0.9421008	best: 0.9421008 (195)	total: 42.7s	remaining: 1m 6s
196:	test: 0.9421669	best: 0.9421669 (196)	total: 42.9s	remaining: 1m 5s
197:	test: 0.9422307	best: 0.9422307 (197)	total: 43.1s	remaining: 1m 5s
198:	test: 0.9423086	best: 0.9423086 (198)	total: 43.3s	remaining: 1m 5s
199:	test: 0.9423669	best: 0.9423669 (199)	total: 43.5s	remaining: 1m 5s
200:	test: 0.9424290	best: 0.9424290 (200)	total: 43.8s	remaining: 1m 5s
201:	test: 0.9425015	best: 0.9425015 (201)	total: 44s	remaining: 1m 4s
202:	test: 0.9425436	best: 0.9425436 (202)	total: 44.2s	remaining: 1m 4s
203:	test: 0.9426018	best: 0.9426018 (203)	total: 44.4s	remaining: 1m 4s
204:	test: 0.9426286	best: 0.9426286 (204)	total: 44.6s	remaining: 1m 4s
205:	test: 0.9427028	best: 0.9427028 (205)	total: 44.8s	remaining: 1m 3s
206:	test: 0.9427519	best: 0.9427519 (206)	total: 45s	remaining: 1m 3s
207:	test: 0.9428117	best: 0.9428117 (207)	total: 45.2s	remaining: 1m 3s
208:	test: 0.9428557	best: 0.9428557 (208)	total: 45.4s	remaining: 1m 3s
209:	test: 0.9429109	best: 0.9429109 (209)	total: 45.6s	remaining: 1m 3s
210:	test: 0.9429857	best: 0.9429857 (210)	total: 45.8s	remaining: 1m 2s
211:	test: 0.9430279	best: 0.9430279 (211)	total: 46s	remaining: 1m 2s
212:	test: 0.9430732	best: 0.9430732 (212)	total: 46.3s	remaining: 1m 2s
213:	test: 0.9431000	best: 0.9431000 (213)	total: 46.5s	remaining: 1m 2s
214:	test: 0.9431607	best: 0.9431607 (214)	total: 46.7s	remaining: 1m 1s
215:	test: 0.9432118	best: 0.9432118 (215)	total: 46.9s	remaining: 1m 1s
216:	test: 0.9432842	best: 0.9432842 (216)	total: 47.1s	remaining: 1m 1s
217:	test: 0.9433533	best: 0.9433533 (217)	total: 47.3s	remaining: 1m 1s
218:	test: 0.9433992	best: 0.9433992 (218)	total: 47.5s	remaining: 1m
219:	test: 0.9434541	best: 0.9434541 (219)	total: 47.7s	remaining: 1m
220:	test: 0.9434986	best: 0.9434986 (220)	total: 47.9s	remaining: 1m
221:	test: 0.9435173	best: 0.9435173 (221)	total: 48.1s	remaining: 1m
222:	test: 0.9435968	best: 0.9435968 (222)	total: 48.4s	remaining: 1m
223:	test: 0.9436455	best: 0.9436455 (223)	total: 48.6s	remaining: 59.8s
224:	test: 0.9436983	best: 0.9436983 (224)	total: 48.8s	remaining: 59.6s
225:	test: 0.9437397	best: 0.9437397 (225)	total: 49s	remaining: 59.4s
226:	test: 0.9437928	best: 0.9437928 (226)	total: 49.2s	remaining: 59.1s
227:	test: 0.9438278	best: 0.9438278 (227)	total: 49.4s	remaining: 58.9s
228:	test: 0.9438642	best: 0.9438642 (228)	total: 49.6s	remaining: 58.7s
229:	test: 0.9439061	best: 0.9439061 (229)	total: 49.8s	remaining: 58.5s
230:	test: 0.9439514	best: 0.9439514 (230)	total: 50s	remaining: 58.3s
231:	test: 0.9440145	best: 0.9440145 (231)	total: 50.2s	remaining: 58s
232:	test: 0.9440588	best: 0.9440588 (232)	total: 50.4s	remaining: 57.8s
233:	test: 0.9440988	best: 0.9440988 (233)	total: 50.6s	remaining: 57.6s
234:	test: 0.9441541	best: 0.9441541 (234)	total: 50.9s	remaining: 57.3s
235:	test: 0.9441863	best: 0.9441863 (235)	total: 51.1s	remaining: 57.1s
236:	test: 0.9442318	best: 0.9442318 (236)	total: 51.3s	remaining: 56.9s
237:	test: 0.9442847	best: 0.9442847 (237)	total: 51.5s	remaining: 56.7s
238:	test: 0.9443169	best: 0.9443169 (238)	total: 51.7s	remaining: 56.4s
239:	test: 0.9443709	best: 0.9443709 (239)	total: 51.9s	remaining: 56.2s
240:	test: 0.9444056	best: 0.9444056 (240)	total: 52.1s	remaining: 56s
241:	test: 0.9444557	best: 0.9444557 (241)	total: 52.3s	remaining: 55.7s
242:	test: 0.9445056	best: 0.9445056 (242)	total: 52.5s	remaining: 55.5s
243:	test: 0.9445559	best: 0.9445559 (243)	total: 52.7s	remaining: 55.3s
244:	test: 0.9445953	best: 0.9445953 (244)	total: 52.9s	remaining: 55.1s
245:	test: 0.9446490	best: 0.9446490 (245)	total: 53.1s	remaining: 54.8s
246:	test: 0.9446777	best: 0.9446777 (246)	total: 53.3s	remaining: 54.6s
247:	test: 0.9447231	best: 0.9447231 (247)	total: 53.5s	remaining: 54.4s
248:	test: 0.9447536	best: 0.9447536 (248)	total: 53.8s	remaining: 54.2s
249:	test: 0.9447805	best: 0.9447805 (249)	total: 54s	remaining: 54s
250:	test: 0.9448071	best: 0.9448071 (250)	total: 54.2s	remaining: 53.7s
251:	test: 0.9448470	best: 0.9448470 (251)	total: 54.4s	remaining: 53.5s
252:	test: 0.9448986	best: 0.9448986 (252)	total: 54.6s	remaining: 53.3s
253:	test: 0.9449366	best: 0.9449366 (253)	total: 54.8s	remaining: 53.1s
254:	test: 0.9449810	best: 0.9449810 (254)	total: 55s	remaining: 52.8s
255:	test: 0.9450018	best: 0.9450018 (255)	total: 55.2s	remaining: 52.6s
256:	test: 0.9450157	best: 0.9450157 (256)	total: 55.4s	remaining: 52.4s
257:	test: 0.9450315	best: 0.9450315 (257)	total: 55.6s	remaining: 52.2s
258:	test: 0.9450634	best: 0.9450634 (258)	total: 55.8s	remaining: 51.9s
259:	test: 0.9451184	best: 0.9451184 (259)	total: 56s	remaining: 51.7s
260:	test: 0.9451430	best: 0.9451430 (260)	total: 56.2s	remaining: 51.5s
261:	test: 0.9451753	best: 0.9451753 (261)	total: 56.4s	remaining: 51.3s
262:	test: 0.9451962	best: 0.9451962 (262)	total: 56.7s	remaining: 51.1s
263:	test: 0.9452062	best: 0.9452062 (263)	total: 56.9s	remaining: 50.8s
264:	test: 0.9452398	best: 0.9452398 (264)	total: 57.1s	remaining: 50.6s
265:	test: 0.9452608	best: 0.9452608 (265)	total: 57.3s	remaining: 50.4s
266:	test: 0.9452932	best: 0.9452932 (266)	total: 57.5s	remaining: 50.2s
267:	test: 0.9453296	best: 0.9453296 (267)	total: 57.7s	remaining: 49.9s
268:	test: 0.9453375	best: 0.9453375 (268)	total: 57.9s	remaining: 49.7s
269:	test: 0.9453512	best: 0.9453512 (269)	total: 58.1s	remaining: 49.5s
270:	test: 0.9454045	best: 0.9454045 (270)	total: 58.3s	remaining: 49.3s
271:	test: 0.9454344	best: 0.9454344 (271)	total: 58.5s	remaining: 49s
