178:	learn: 0.0244684	total: 12m 4s	remaining: 21m 40s
179:	learn: 0.0244578	total: 12m 7s	remaining: 21m 33s
180:	learn: 0.0244442	total: 12m 9s	remaining: 21m 25s
181:	learn: 0.0244342	total: 12m 13s	remaining: 21m 22s
182:	learn: 0.0244144	total: 12m 16s	remaining: 21m 14s
183:	learn: 0.0244026	total: 12m 17s	remaining: 21m 7s
184:	learn: 0.0243808	total: 12m 20s	remaining: 21m
185:	learn: 0.0243705	total: 12m 22s	remaining: 20m 52s
186:	learn: 0.0243590	total: 12m 23s	remaining: 20m 44s
187:	learn: 0.0243443	total: 12m 26s	remaining: 20m 39s
188:	learn: 0.0243344	total: 12m 29s	remaining: 20m 32s
189:	learn: 0.0243274	total: 12m 32s	remaining: 20m 28s
190:	learn: 0.0243113	total: 12m 37s	remaining: 20m 25s
191:	learn: 0.0242914	total: 12m 42s	remaining: 20m 22s
192:	learn: 0.0242755	total: 12m 45s	remaining: 20m 17s
193:	learn: 0.0242666	total: 12m 47s	remaining: 20m 10s
194:	learn: 0.0242588	total: 12m 49s	remaining: 20m 4s
195:	learn: 0.0242490	total: 12m 51s	remaining: 19m 56s
196:	learn: 0.0242338	total: 12m 57s	remaining: 19m 55s
197:	learn: 0.0242273	total: 12m 58s	remaining: 19m 48s
198:	learn: 0.0242179	total: 13m 1s	remaining: 19m 42s
199:	learn: 0.0242068	total: 13m 5s	remaining: 19m 38s
200:	learn: 0.0241948	total: 13m 8s	remaining: 19m 32s
201:	learn: 0.0241849	total: 13m 10s	remaining: 19m 25s
202:	learn: 0.0241760	total: 13m 11s	remaining: 19m 18s
203:	learn: 0.0241615	total: 13m 14s	remaining: 19m 12s
204:	learn: 0.0241500	total: 13m 16s	remaining: 19m 6s
205:	learn: 0.0241369	total: 13m 19s	remaining: 19m 1s
206:	learn: 0.0241201	total: 13m 21s	remaining: 18m 54s
207:	learn: 0.0241120	total: 13m 23s	remaining: 18m 47s
208:	learn: 0.0241017	total: 13m 24s	remaining: 18m 40s
209:	learn: 0.0240894	total: 13m 25s	remaining: 18m 32s
210:	learn: 0.0240784	total: 13m 29s	remaining: 18m 28s
211:	learn: 0.0240686	total: 13m 31s	remaining: 18m 22s
212:	learn: 0.0240609	total: 13m 34s	remaining: 18m 17s
213:	learn: 0.0240499	total: 13m 37s	remaining: 18m 12s
214:	learn: 0.0240382	total: 13m 38s	remaining: 18m 4s
215:	learn: 0.0240297	total: 13m 39s	remaining: 17m 57s
216:	learn: 0.0240197	total: 13m 41s	remaining: 17m 51s
217:	learn: 0.0240123	total: 13m 43s	remaining: 17m 44s
218:	learn: 0.0239998	total: 13m 45s	remaining: 17m 39s
219:	learn: 0.0239882	total: 13m 47s	remaining: 17m 33s
220:	learn: 0.0239701	total: 13m 50s	remaining: 17m 28s
221:	learn: 0.0239623	total: 13m 52s	remaining: 17m 22s
222:	learn: 0.0239530	total: 13m 55s	remaining: 17m 17s
223:	learn: 0.0239439	total: 14m	remaining: 17m 15s
224:	learn: 0.0239267	total: 14m 3s	remaining: 17m 10s
225:	learn: 0.0239192	total: 14m 6s	remaining: 17m 6s
226:	learn: 0.0239139	total: 14m 8s	remaining: 17m
227:	learn: 0.0239056	total: 14m 11s	remaining: 16m 56s
228:	learn: 0.0238978	total: 14m 14s	remaining: 16m 50s
229:	learn: 0.0238905	total: 14m 16s	remaining: 16m 45s
230:	learn: 0.0238827	total: 14m 20s	remaining: 16m 42s
231:	learn: 0.0238732	total: 14m 24s	remaining: 16m 38s
232:	learn: 0.0238627	total: 14m 28s	remaining: 16m 35s
233:	learn: 0.0238541	total: 14m 30s	remaining: 16m 29s
