217:	test: 0.5164751	best: 0.5165053 (216)	total: 9m 40s	remaining: 12m 30s
218:	test: 0.5165149	best: 0.5165149 (218)	total: 9m 42s	remaining: 12m 27s
219:	test: 0.5165635	best: 0.5165635 (219)	total: 9m 45s	remaining: 12m 24s
220:	test: 0.5166300	best: 0.5166300 (220)	total: 9m 47s	remaining: 12m 21s
221:	test: 0.5165444	best: 0.5166300 (220)	total: 9m 49s	remaining: 12m 18s
222:	test: 0.5165310	best: 0.5166300 (220)	total: 9m 52s	remaining: 12m 15s
223:	test: 0.5164976	best: 0.5166300 (220)	total: 9m 54s	remaining: 12m 12s
224:	test: 0.5165059	best: 0.5166300 (220)	total: 9m 56s	remaining: 12m 9s
225:	test: 0.5167557	best: 0.5167557 (225)	total: 10m	remaining: 12m 7s
226:	test: 0.5168291	best: 0.5168291 (226)	total: 10m 2s	remaining: 12m 4s
227:	test: 0.5167271	best: 0.5168291 (226)	total: 10m 4s	remaining: 12m 1s
228:	test: 0.5167765	best: 0.5168291 (226)	total: 10m 6s	remaining: 11m 58s
229:	test: 0.5168281	best: 0.5168291 (226)	total: 10m 9s	remaining: 11m 55s
230:	test: 0.5169369	best: 0.5169369 (230)	total: 10m 11s	remaining: 11m 52s
231:	test: 0.5169226	best: 0.5169369 (230)	total: 10m 13s	remaining: 11m 49s
232:	test: 0.5169160	best: 0.5169369 (230)	total: 10m 16s	remaining: 11m 46s
233:	test: 0.5168851	best: 0.5169369 (230)	total: 10m 18s	remaining: 11m 43s
234:	test: 0.5170087	best: 0.5170087 (234)	total: 10m 21s	remaining: 11m 41s
235:	test: 0.5170782	best: 0.5170782 (235)	total: 10m 23s	remaining: 11m 37s
236:	test: 0.5171850	best: 0.5171850 (236)	total: 10m 26s	remaining: 11m 34s
237:	test: 0.5172942	best: 0.5172942 (237)	total: 10m 30s	remaining: 11m 33s
238:	test: 0.5172361	best: 0.5172942 (237)	total: 10m 32s	remaining: 11m 31s
239:	test: 0.5172519	best: 0.5172942 (237)	total: 10m 35s	remaining: 11m 28s
240:	test: 0.5170845	best: 0.5172942 (237)	total: 10m 37s	remaining: 11m 24s
241:	test: 0.5173191	best: 0.5173191 (241)	total: 10m 40s	remaining: 11m 22s
242:	test: 0.5173674	best: 0.5173674 (242)	total: 10m 42s	remaining: 11m 19s
243:	test: 0.5173680	best: 0.5173680 (243)	total: 10m 45s	remaining: 11m 16s
244:	test: 0.5173688	best: 0.5173688 (244)	total: 10m 47s	remaining: 11m 14s
245:	test: 0.5172510	best: 0.5173688 (244)	total: 10m 50s	remaining: 11m 11s
246:	test: 0.5173125	best: 0.5173688 (244)	total: 10m 52s	remaining: 11m 8s
247:	test: 0.5172542	best: 0.5173688 (244)	total: 10m 56s	remaining: 11m 6s
248:	test: 0.5171879	best: 0.5173688 (244)	total: 10m 58s	remaining: 11m 3s
249:	test: 0.5171973	best: 0.5173688 (244)	total: 11m	remaining: 11m
250:	test: 0.5173710	best: 0.5173710 (250)	total: 11m 2s	remaining: 10m 56s
251:	test: 0.5175608	best: 0.5175608 (251)	total: 11m 4s	remaining: 10m 53s
252:	test: 0.5174591	best: 0.5175608 (251)	total: 11m 6s	remaining: 10m 50s
253:	test: 0.5175280	best: 0.5175608 (251)	total: 11m 8s	remaining: 10m 47s
254:	test: 0.5174780	best: 0.5175608 (251)	total: 11m 10s	remaining: 10m 44s
255:	test: 0.5176185	best: 0.5176185 (255)	total: 11m 12s	remaining: 10m 40s
256:	test: 0.5176486	best: 0.5176486 (256)	total: 11m 14s	remaining: 10m 37s
257:	test: 0.5177229	best: 0.5177229 (257)	total: 11m 16s	remaining: 10m 34s
258:	test: 0.5176459	best: 0.5177229 (257)	total: 11m 19s	remaining: 10m 31s
259:	test: 0.5176518	best: 0.5177229 (257)	total: 11m 21s	remaining: 10m 28s
260:	test: 0.5177196	best: 0.5177229 (257)	total: 11m 24s	remaining: 10m 26s
261:	test: 0.5177187	best: 0.5177229 (257)	total: 11m 26s	remaining: 10m 23s
262:	test: 0.5177568	best: 0.5177568 (262)	total: 11m 29s	remaining: 10m 21s
263:	test: 0.5177012	best: 0.5177568 (262)	total: 11m 32s	remaining: 10m 18s
264:	test: 0.5178271	best: 0.5178271 (264)	total: 11m 34s	remaining: 10m 15s
265:	test: 0.5178277	best: 0.5178277 (265)	total: 11m 36s	remaining: 10m 12s
266:	test: 0.5178980	best: 0.5178980 (266)	total: 11m 38s	remaining: 10m 9s
267:	test: 0.5179148	best: 0.5179148 (267)	total: 11m 40s	remaining: 10m 6s
268:	test: 0.5178754	best: 0.5179148 (267)	total: 11m 43s	remaining: 10m 3s
269:	test: 0.5179310	best: 0.5179310 (269)	total: 11m 45s	remaining: 10m 1s
270:	test: 0.5179283	best: 0.5179310 (269)	total: 11m 47s	remaining: 9m 57s
271:	test: 0.5179201	best: 0.5179310 (269)	total: 11m 50s	remaining: 9m 55s
272:	test: 0.5179797	best: 0.5179797 (272)	total: 11m 52s	remaining: 9m 52s
273:	test: 0.5180591	best: 0.5180591 (273)	total: 11m 54s	remaining: 9m 49s
274:	test: 0.5180968	best: 0.5180968 (274)	total: 11m 56s	remaining: 9m 46s
275:	test: 0.5182529	best: 0.5182529 (275)	total: 11m 58s	remaining: 9m 43s
276:	test: 0.5182065	best: 0.5182529 (275)	total: 12m	remaining: 9m 40s
277:	test: 0.5181818	best: 0.5182529 (275)	total: 12m 3s	remaining: 9m 37s
278:	test: 0.5180934	best: 0.5182529 (275)	total: 12m 5s	remaining: 9m 34s
279:	test: 0.5178650	best: 0.5182529 (275)	total: 12m 8s	remaining: 9m 32s
280:	test: 0.5179398	best: 0.5182529 (275)	total: 12m 10s	remaining: 9m 29s
281:	test: 0.5179447	best: 0.5182529 (275)	total: 12m 12s	remaining: 9m 26s
282:	test: 0.5179278	best: 0.5182529 (275)	total: 12m 15s	remaining: 9m 24s
283:	test: 0.5179001	best: 0.5182529 (275)	total: 12m 18s	remaining: 9m 21s
284:	test: 0.5179416	best: 0.5182529 (275)	total: 12m 20s	remaining: 9m 18s
285:	test: 0.5181464	best: 0.5182529 (275)	total: 12m 22s	remaining: 9m 15s
286:	test: 0.5181492	best: 0.5182529 (275)	total: 12m 24s	remaining: 9m 12s
287:	test: 0.5181232	best: 0.5182529 (275)	total: 12m 27s	remaining: 9m 10s
288:	test: 0.5180639	best: 0.5182529 (275)	total: 12m 30s	remaining: 9m 7s
289:	test: 0.5179795	best: 0.5182529 (275)	total: 12m 33s	remaining: 9m 5s
290:	test: 0.5179487	best: 0.5182529 (275)	total: 12m 35s	remaining: 9m 2s
291:	test: 0.5179140	best: 0.5182529 (275)	total: 12m 37s	remaining: 8m 59s
292:	test: 0.5179794	best: 0.5182529 (275)	total: 12m 40s	remaining: 8m 57s
293:	test: 0.5179004	best: 0.5182529 (275)	total: 12m 43s	remaining: 8m 54s
294:	test: 0.5180023	best: 0.5182529 (275)	total: 12m 45s	remaining: 8m 51s
295:	test: 0.5181856	best: 0.5182529 (275)	total: 12m 47s	remaining: 8m 49s
296:	test: 0.5182650	best: 0.5182650 (296)	total: 12m 49s	remaining: 8m 46s
297:	test: 0.5184608	best: 0.5184608 (297)	total: 12m 51s	remaining: 8m 43s
298:	test: 0.5184695	best: 0.5184695 (298)	total: 12m 54s	remaining: 8m 40s
299:	test: 0.5185731	best: 0.5185731 (299)	total: 12m 56s	remaining: 8m 37s
300:	test: 0.5187012	best: 0.5187012 (300)	total: 12m 58s	remaining: 8m 34s
301:	test: 0.5186918	best: 0.5187012 (300)	total: 13m 1s	remaining: 8m 32s
302:	test: 0.5184699	best: 0.5187012 (300)	total: 13m 4s	remaining: 8m 29s
303:	test: 0.5185334	best: 0.5187012 (300)	total: 13m 7s	remaining: 8m 27s
304:	test: 0.5186518	best: 0.5187012 (300)	total: 13m 9s	remaining: 8m 24s
305:	test: 0.5185426	best: 0.5187012 (300)	total: 13m 12s	remaining: 8m 22s
306:	test: 0.5185024	best: 0.5187012 (300)	total: 13m 13s	remaining: 8m 19s
307:	test: 0.5185302	best: 0.5187012 (300)	total: 13m 16s	remaining: 8m 16s
308:	test: 0.5185255	best: 0.5187012 (300)	total: 13m 18s	remaining: 8m 13s
309:	test: 0.5187384	best: 0.5187384 (309)	total: 13m 21s	remaining: 8m 11s
310:	test: 0.5188715	best: 0.5188715 (310)	total: 13m 26s	remaining: 8m 9s
311:	test: 0.5187980	best: 0.5188715 (310)	total: 13m 29s	remaining: 8m 7s
