134:	learn: 7.8076892	test: 8.9991373	best: 8.9991373 (134)	total: 36.5s	remaining: 1m 38s
135:	learn: 7.8000113	test: 8.9984064	best: 8.9984064 (135)	total: 36.8s	remaining: 1m 38s
136:	learn: 7.7930453	test: 8.9982634	best: 8.9982634 (136)	total: 37.1s	remaining: 1m 38s
137:	learn: 7.7854243	test: 8.9979814	best: 8.9979814 (137)	total: 37.3s	remaining: 1m 37s
138:	learn: 7.7784336	test: 8.9983420	best: 8.9979814 (137)	total: 37.6s	remaining: 1m 37s
139:	learn: 7.7708817	test: 8.9971296	best: 8.9971296 (139)	total: 38s	remaining: 1m 37s
140:	learn: 7.7628768	test: 8.9964090	best: 8.9964090 (140)	total: 38.2s	remaining: 1m 37s
141:	learn: 7.7548182	test: 8.9953556	best: 8.9953556 (141)	total: 38.5s	remaining: 1m 37s
142:	learn: 7.7484402	test: 8.9953660	best: 8.9953556 (141)	total: 38.7s	remaining: 1m 36s
143:	learn: 7.7413538	test: 8.9948847	best: 8.9948847 (143)	total: 39s	remaining: 1m 36s
144:	learn: 7.7340767	test: 8.9936877	best: 8.9936877 (144)	total: 39.3s	remaining: 1m 36s
145:	learn: 7.7267671	test: 8.9919196	best: 8.9919196 (145)	total: 39.6s	remaining: 1m 36s
146:	learn: 7.7190063	test: 8.9912850	best: 8.9912850 (146)	total: 39.9s	remaining: 1m 35s
147:	learn: 7.7124637	test: 8.9908650	best: 8.9908650 (147)	total: 40.2s	remaining: 1m 35s
148:	learn: 7.7051488	test: 8.9901809	best: 8.9901809 (148)	total: 40.5s	remaining: 1m 35s
149:	learn: 7.6992663	test: 8.9898488	best: 8.9898488 (149)	total: 40.8s	remaining: 1m 35s
150:	learn: 7.6925509	test: 8.9894441	best: 8.9894441 (150)	total: 41.1s	remaining: 1m 34s
151:	learn: 7.6856277	test: 8.9891528	best: 8.9891528 (151)	total: 41.4s	remaining: 1m 34s
152:	learn: 7.6777553	test: 8.9886947	best: 8.9886947 (152)	total: 41.6s	remaining: 1m 34s
