218:	test: 0.7992029	best: 0.7992029 (218)	total: 1h 31m 3s	remaining: 1h 56m 50s
219:	test: 0.7992206	best: 0.7992206 (219)	total: 1h 31m 27s	remaining: 1h 56m 24s
220:	test: 0.7992508	best: 0.7992508 (220)	total: 1h 31m 49s	remaining: 1h 55m 55s
221:	test: 0.7992803	best: 0.7992803 (221)	total: 1h 32m 11s	remaining: 1h 55m 26s
222:	test: 0.7992962	best: 0.7992962 (222)	total: 1h 32m 32s	remaining: 1h 54m 57s
223:	test: 0.7993179	best: 0.7993179 (223)	total: 1h 32m 59s	remaining: 1h 54m 34s
224:	test: 0.7993480	best: 0.7993480 (224)	total: 1h 33m 27s	remaining: 1h 54m 13s
225:	test: 0.7993723	best: 0.7993723 (225)	total: 1h 33m 45s	remaining: 1h 53m 40s
226:	test: 0.7993877	best: 0.7993877 (226)	total: 1h 34m 17s	remaining: 1h 53m 24s
227:	test: 0.7994172	best: 0.7994172 (227)	total: 1h 34m 52s	remaining: 1h 53m 10s
228:	test: 0.7994455	best: 0.7994455 (228)	total: 1h 35m 16s	remaining: 1h 52m 45s
229:	test: 0.7994698	best: 0.7994698 (229)	total: 1h 35m 50s	remaining: 1h 52m 30s
230:	test: 0.7994944	best: 0.7994944 (230)	total: 1h 36m 10s	remaining: 1h 51m 59s
231:	test: 0.7995170	best: 0.7995170 (231)	total: 1h 36m 35s	remaining: 1h 51m 35s
232:	test: 0.7995618	best: 0.7995618 (232)	total: 1h 37m 18s	remaining: 1h 51m 30s
233:	test: 0.7995808	best: 0.7995808 (233)	total: 1h 37m 37s	remaining: 1h 50m 58s
234:	test: 0.7995942	best: 0.7995942 (234)	total: 1h 38m	remaining: 1h 50m 31s
235:	test: 0.7996245	best: 0.7996245 (235)	total: 1h 38m 19s	remaining: 1h 49m 59s
236:	test: 0.7996459	best: 0.7996459 (236)	total: 1h 38m 54s	remaining: 1h 49m 45s
237:	test: 0.7996823	best: 0.7996823 (237)	total: 1h 39m 27s	remaining: 1h 49m 29s
238:	test: 0.7997075	best: 0.7997075 (238)	total: 1h 39m 55s	remaining: 1h 49m 7s
239:	test: 0.7997340	best: 0.7997340 (239)	total: 1h 40m 21s	remaining: 1h 48m 42s
240:	test: 0.7997750	best: 0.7997750 (240)	total: 1h 40m 57s	remaining: 1h 48m 30s
241:	test: 0.7997978	best: 0.7997978 (241)	total: 1h 41m 25s	remaining: 1h 48m 8s
242:	test: 0.7998306	best: 0.7998306 (242)	total: 1h 41m 45s	remaining: 1h 47m 37s
243:	test: 0.7998630	best: 0.7998630 (243)	total: 1h 42m 23s	remaining: 1h 47m 25s
244:	test: 0.7998771	best: 0.7998771 (244)	total: 1h 42m 54s	remaining: 1h 47m 6s
245:	test: 0.7998998	best: 0.7998998 (245)	total: 1h 43m 36s	remaining: 1h 46m 58s
246:	test: 0.7999144	best: 0.7999144 (246)	total: 1h 43m 58s	remaining: 1h 46m 30s
247:	test: 0.7999323	best: 0.7999323 (247)	total: 1h 44m 23s	remaining: 1h 46m 4s
248:	test: 0.7999534	best: 0.7999534 (248)	total: 1h 44m 47s	remaining: 1h 45m 37s
249:	test: 0.7999775	best: 0.7999775 (249)	total: 1h 45m 13s	remaining: 1h 45m 13s
250:	test: 0.8000115	best: 0.8000115 (250)	total: 1h 45m 55s	remaining: 1h 45m 4s
251:	test: 0.8000306	best: 0.8000306 (251)	total: 1h 46m 24s	remaining: 1h 44m 43s
252:	test: 0.8000342	best: 0.8000342 (252)	total: 1h 46m 44s	remaining: 1h 44m 12s
253:	test: 0.8000515	best: 0.8000515 (253)	total: 1h 47m 14s	remaining: 1h 43m 51s
254:	test: 0.8000690	best: 0.8000690 (254)	total: 1h 47m 39s	remaining: 1h 43m 25s
255:	test: 0.8000964	best: 0.8000964 (255)	total: 1h 48m 12s	remaining: 1h 43m 7s
256:	test: 0.8001233	best: 0.8001233 (256)	total: 1h 48m 32s	remaining: 1h 42m 37s
257:	test: 0.8001453	best: 0.8001453 (257)	total: 1h 49m	remaining: 1h 42m 15s
258:	test: 0.8001658	best: 0.8001658 (258)	total: 1h 49m 27s	remaining: 1h 41m 50s
259:	test: 0.8001834	best: 0.8001834 (259)	total: 1h 49m 51s	remaining: 1h 41m 24s
260:	test: 0.8002054	best: 0.8002054 (260)	total: 1h 50m 19s	remaining: 1h 41m 1s
261:	test: 0.8002244	best: 0.8002244 (261)	total: 1h 50m 48s	remaining: 1h 40m 39s
262:	test: 0.8002449	best: 0.8002449 (262)	total: 1h 51m 10s	remaining: 1h 40m 10s
263:	test: 0.8002670	best: 0.8002670 (263)	total: 1h 51m 33s	remaining: 1h 39m 43s
264:	test: 0.8003014	best: 0.8003014 (264)	total: 1h 51m 54s	remaining: 1h 39m 14s
265:	test: 0.8003233	best: 0.8003233 (265)	total: 1h 52m 26s	remaining: 1h 38m 54s
266:	test: 0.8003637	best: 0.8003637 (266)	total: 1h 52m 55s	remaining: 1h 38m 32s
267:	test: 0.8003922	best: 0.8003922 (267)	total: 1h 53m 23s	remaining: 1h 38m 9s
268:	test: 0.8004092	best: 0.8004092 (268)	total: 1h 53m 53s	remaining: 1h 37m 48s
