196:	test: 0.7900837	best: 0.7900837 (196)	total: 5m 5s	remaining: 7m 49s
197:	test: 0.7902039	best: 0.7902039 (197)	total: 5m 6s	remaining: 7m 47s
198:	test: 0.7903800	best: 0.7903800 (198)	total: 5m 8s	remaining: 7m 45s
199:	test: 0.7903625	best: 0.7903800 (198)	total: 5m 10s	remaining: 7m 45s
200:	test: 0.7903881	best: 0.7903881 (200)	total: 5m 11s	remaining: 7m 43s
201:	test: 0.7904012	best: 0.7904012 (201)	total: 5m 12s	remaining: 7m 41s
202:	test: 0.7902523	best: 0.7904012 (201)	total: 5m 14s	remaining: 7m 40s
203:	test: 0.7904392	best: 0.7904392 (203)	total: 5m 16s	remaining: 7m 39s
204:	test: 0.7904374	best: 0.7904392 (203)	total: 5m 18s	remaining: 7m 38s
205:	test: 0.7902000	best: 0.7904392 (203)	total: 5m 20s	remaining: 7m 37s
206:	test: 0.7903774	best: 0.7904392 (203)	total: 5m 21s	remaining: 7m 35s
207:	test: 0.7905024	best: 0.7905024 (207)	total: 5m 23s	remaining: 7m 33s
208:	test: 0.7904903	best: 0.7905024 (207)	total: 5m 25s	remaining: 7m 33s
209:	test: 0.7904528	best: 0.7905024 (207)	total: 5m 26s	remaining: 7m 31s
210:	test: 0.7905625	best: 0.7905625 (210)	total: 5m 28s	remaining: 7m 29s
211:	test: 0.7904938	best: 0.7905625 (210)	total: 5m 29s	remaining: 7m 28s
212:	test: 0.7904920	best: 0.7905625 (210)	total: 5m 31s	remaining: 7m 26s
213:	test: 0.7904785	best: 0.7905625 (210)	total: 5m 33s	remaining: 7m 25s
214:	test: 0.7903110	best: 0.7905625 (210)	total: 5m 34s	remaining: 7m 23s
215:	test: 0.7904341	best: 0.7905625 (210)	total: 5m 37s	remaining: 7m 23s
216:	test: 0.7904696	best: 0.7905625 (210)	total: 5m 38s	remaining: 7m 21s
217:	test: 0.7905496	best: 0.7905625 (210)	total: 5m 40s	remaining: 7m 20s
218:	test: 0.7905326	best: 0.7905625 (210)	total: 5m 42s	remaining: 7m 19s
219:	test: 0.7907200	best: 0.7907200 (219)	total: 5m 43s	remaining: 7m 17s
220:	test: 0.7906653	best: 0.7907200 (219)	total: 5m 45s	remaining: 7m 15s
221:	test: 0.7906101	best: 0.7907200 (219)	total: 5m 46s	remaining: 7m 14s
222:	test: 0.7906238	best: 0.7907200 (219)	total: 5m 48s	remaining: 7m 12s
223:	test: 0.7905206	best: 0.7907200 (219)	total: 5m 49s	remaining: 7m 11s
224:	test: 0.7908314	best: 0.7908314 (224)	total: 5m 51s	remaining: 7m 9s
225:	test: 0.7908748	best: 0.7908748 (225)	total: 5m 52s	remaining: 7m 7s
226:	test: 0.7909215	best: 0.7909215 (226)	total: 5m 54s	remaining: 7m 6s
227:	test: 0.7909073	best: 0.7909215 (226)	total: 5m 55s	remaining: 7m 4s
228:	test: 0.7909741	best: 0.7909741 (228)	total: 5m 57s	remaining: 7m 2s
229:	test: 0.7908987	best: 0.7909741 (228)	total: 5m 58s	remaining: 7m 1s
230:	test: 0.7910744	best: 0.7910744 (230)	total: 6m	remaining: 6m 59s
231:	test: 0.7912218	best: 0.7912218 (231)	total: 6m 2s	remaining: 6m 58s
232:	test: 0.7913681	best: 0.7913681 (232)	total: 6m 3s	remaining: 6m 56s
233:	test: 0.7912199	best: 0.7913681 (232)	total: 6m 5s	remaining: 6m 55s
234:	test: 0.7913779	best: 0.7913779 (234)	total: 6m 7s	remaining: 6m 53s
235:	test: 0.7911889	best: 0.7913779 (234)	total: 6m 8s	remaining: 6m 52s
236:	test: 0.7910570	best: 0.7913779 (234)	total: 6m 10s	remaining: 6m 50s
237:	test: 0.7912221	best: 0.7913779 (234)	total: 6m 12s	remaining: 6m 50s
238:	test: 0.7912068	best: 0.7913779 (234)	total: 6m 13s	remaining: 6m 48s
239:	test: 0.7913824	best: 0.7913824 (239)	total: 6m 15s	remaining: 6m 47s
240:	test: 0.7913048	best: 0.7913824 (239)	total: 6m 17s	remaining: 6m 45s
241:	test: 0.7912630	best: 0.7913824 (239)	total: 6m 19s	remaining: 6m 44s
242:	test: 0.7912741	best: 0.7913824 (239)	total: 6m 20s	remaining: 6m 42s
243:	test: 0.7914266	best: 0.7914266 (243)	total: 6m 22s	remaining: 6m 40s
244:	test: 0.7913875	best: 0.7914266 (243)	total: 6m 23s	remaining: 6m 39s
245:	test: 0.7913007	best: 0.7914266 (243)	total: 6m 25s	remaining: 6m 38s
246:	test: 0.7913467	best: 0.7914266 (243)	total: 6m 27s	remaining: 6m 36s
247:	test: 0.7914476	best: 0.7914476 (247)	total: 6m 28s	remaining: 6m 35s
248:	test: 0.7915653	best: 0.7915653 (248)	total: 6m 30s	remaining: 6m 33s
249:	test: 0.7918405	best: 0.7918405 (249)	total: 6m 31s	remaining: 6m 31s
250:	test: 0.7917331	best: 0.7918405 (249)	total: 6m 33s	remaining: 6m 30s
251:	test: 0.7916940	best: 0.7918405 (249)	total: 6m 35s	remaining: 6m 29s
252:	test: 0.7916925	best: 0.7918405 (249)	total: 6m 37s	remaining: 6m 27s
253:	test: 0.7915540	best: 0.7918405 (249)	total: 6m 39s	remaining: 6m 26s
254:	test: 0.7916514	best: 0.7918405 (249)	total: 6m 40s	remaining: 6m 24s
255:	test: 0.7916092	best: 0.7918405 (249)	total: 6m 41s	remaining: 6m 23s
256:	test: 0.7917058	best: 0.7918405 (249)	total: 6m 43s	remaining: 6m 21s
257:	test: 0.7919736	best: 0.7919736 (257)	total: 6m 45s	remaining: 6m 20s
258:	test: 0.7920207	best: 0.7920207 (258)	total: 6m 46s	remaining: 6m 18s
259:	test: 0.7919727	best: 0.7920207 (258)	total: 6m 48s	remaining: 6m 16s
260:	test: 0.7918910	best: 0.7920207 (258)	total: 6m 49s	remaining: 6m 15s
261:	test: 0.7919844	best: 0.7920207 (258)	total: 6m 51s	remaining: 6m 13s
262:	test: 0.7920670	best: 0.7920670 (262)	total: 6m 53s	remaining: 6m 12s
263:	test: 0.7921654	best: 0.7921654 (263)	total: 6m 55s	remaining: 6m 11s
264:	test: 0.7919851	best: 0.7921654 (263)	total: 6m 56s	remaining: 6m 9s
265:	test: 0.7919890	best: 0.7921654 (263)	total: 6m 58s	remaining: 6m 8s
266:	test: 0.7919782	best: 0.7921654 (263)	total: 7m	remaining: 6m 6s
267:	test: 0.7920809	best: 0.7921654 (263)	total: 7m 1s	remaining: 6m 5s
268:	test: 0.7919443	best: 0.7921654 (263)	total: 7m 4s	remaining: 6m 4s
269:	test: 0.7919300	best: 0.7921654 (263)	total: 7m 6s	remaining: 6m 3s
270:	test: 0.7920221	best: 0.7921654 (263)	total: 7m 7s	remaining: 6m 1s
271:	test: 0.7920533	best: 0.7921654 (263)	total: 7m 9s	remaining: 5m 59s
272:	test: 0.7921935	best: 0.7921935 (272)	total: 7m 10s	remaining: 5m 58s
273:	test: 0.7923557	best: 0.7923557 (273)	total: 7m 12s	remaining: 5m 56s
274:	test: 0.7923428	best: 0.7923557 (273)	total: 7m 14s	remaining: 5m 55s
275:	test: 0.7923353	best: 0.7923557 (273)	total: 7m 15s	remaining: 5m 53s
276:	test: 0.7922066	best: 0.7923557 (273)	total: 7m 17s	remaining: 5m 52s
