243:	learn: 0.4863514	total: 9m 42s	remaining: 10m 10s
244:	learn: 0.4862867	total: 9m 44s	remaining: 10m 8s
245:	learn: 0.4862167	total: 9m 47s	remaining: 10m 6s
246:	learn: 0.4860985	total: 9m 50s	remaining: 10m 4s
247:	learn: 0.4860454	total: 9m 51s	remaining: 10m 1s
248:	learn: 0.4859528	total: 9m 55s	remaining: 9m 59s
249:	learn: 0.4858707	total: 9m 57s	remaining: 9m 57s
250:	learn: 0.4857297	total: 10m	remaining: 9m 55s
251:	learn: 0.4855982	total: 10m 2s	remaining: 9m 52s
252:	learn: 0.4855283	total: 10m 4s	remaining: 9m 50s
253:	learn: 0.4854610	total: 10m 7s	remaining: 9m 48s
254:	learn: 0.4853977	total: 10m 10s	remaining: 9m 46s
255:	learn: 0.4853368	total: 10m 12s	remaining: 9m 43s
256:	learn: 0.4852646	total: 10m 15s	remaining: 9m 42s
257:	learn: 0.4852059	total: 10m 17s	remaining: 9m 39s
258:	learn: 0.4851491	total: 10m 20s	remaining: 9m 37s
259:	learn: 0.4850832	total: 10m 22s	remaining: 9m 35s
260:	learn: 0.4850249	total: 10m 24s	remaining: 9m 31s
261:	learn: 0.4849629	total: 10m 26s	remaining: 9m 29s
262:	learn: 0.4849095	total: 10m 27s	remaining: 9m 25s
263:	learn: 0.4848590	total: 10m 29s	remaining: 9m 23s
264:	learn: 0.4847741	total: 10m 32s	remaining: 9m 21s
265:	learn: 0.4847089	total: 10m 34s	remaining: 9m 18s
266:	learn: 0.4846485	total: 10m 37s	remaining: 9m 16s
267:	learn: 0.4845845	total: 10m 39s	remaining: 9m 13s
268:	learn: 0.4844662	total: 10m 41s	remaining: 9m 10s
269:	learn: 0.4844089	total: 10m 43s	remaining: 9m 8s
270:	learn: 0.4843044	total: 10m 45s	remaining: 9m 5s
271:	learn: 0.4842526	total: 10m 47s	remaining: 9m 2s
272:	learn: 0.4841929	total: 10m 50s	remaining: 9m
273:	learn: 0.4841085	total: 10m 52s	remaining: 8m 58s
274:	learn: 0.4840757	total: 10m 53s	remaining: 8m 55s
275:	learn: 0.4839747	total: 10m 56s	remaining: 8m 52s
276:	learn: 0.4839284	total: 10m 57s	remaining: 8m 49s
277:	learn: 0.4838823	total: 10m 59s	remaining: 8m 46s
278:	learn: 0.4838170	total: 11m	remaining: 8m 43s
279:	learn: 0.4837628	total: 11m 2s	remaining: 8m 40s
280:	learn: 0.4836758	total: 11m 5s	remaining: 8m 38s
281:	learn: 0.4836255	total: 11m 7s	remaining: 8m 36s
282:	learn: 0.4835794	total: 11m 9s	remaining: 8m 33s
283:	learn: 0.4834844	total: 11m 11s	remaining: 8m 30s
284:	learn: 0.4834211	total: 11m 13s	remaining: 8m 28s
