296:	learn: 0.0307891	total: 8m 11s	remaining: 5m 36s
297:	learn: 0.0307821	total: 8m 14s	remaining: 5m 34s
298:	learn: 0.0307798	total: 8m 16s	remaining: 5m 33s
299:	learn: 0.0307765	total: 8m 18s	remaining: 5m 32s
300:	learn: 0.0307720	total: 8m 21s	remaining: 5m 31s
301:	learn: 0.0307689	total: 8m 24s	remaining: 5m 30s
302:	learn: 0.0307629	total: 8m 26s	remaining: 5m 29s
303:	learn: 0.0307593	total: 8m 29s	remaining: 5m 28s
304:	learn: 0.0307563	total: 8m 31s	remaining: 5m 26s
305:	learn: 0.0307524	total: 8m 33s	remaining: 5m 25s
306:	learn: 0.0307461	total: 8m 35s	remaining: 5m 24s
307:	learn: 0.0307448	total: 8m 37s	remaining: 5m 22s
308:	learn: 0.0307409	total: 8m 40s	remaining: 5m 21s
309:	learn: 0.0307380	total: 8m 42s	remaining: 5m 20s
310:	learn: 0.0307354	total: 8m 45s	remaining: 5m 19s
311:	learn: 0.0307307	total: 8m 47s	remaining: 5m 18s
312:	learn: 0.0307298	total: 8m 49s	remaining: 5m 16s
313:	learn: 0.0307235	total: 8m 52s	remaining: 5m 15s
314:	learn: 0.0307214	total: 8m 54s	remaining: 5m 13s
315:	learn: 0.0307189	total: 8m 56s	remaining: 5m 12s
316:	learn: 0.0307155	total: 8m 58s	remaining: 5m 10s
317:	learn: 0.0307116	total: 8m 59s	remaining: 5m 8s
318:	learn: 0.0307100	total: 9m 2s	remaining: 5m 7s
319:	learn: 0.0307041	total: 9m 4s	remaining: 5m 6s
320:	learn: 0.0307011	total: 9m 7s	remaining: 5m 5s
321:	learn: 0.0306990	total: 9m 9s	remaining: 5m 3s
322:	learn: 0.0306959	total: 9m 11s	remaining: 5m 1s
323:	learn: 0.0306915	total: 9m 14s	remaining: 5m
324:	learn: 0.0306894	total: 9m 15s	remaining: 4m 59s
325:	learn: 0.0306854	total: 9m 18s	remaining: 4m 57s
326:	learn: 0.0306804	total: 9m 20s	remaining: 4m 56s
327:	learn: 0.0306794	total: 9m 22s	remaining: 4m 55s
328:	learn: 0.0306758	total: 9m 24s	remaining: 4m 53s
329:	learn: 0.0306732	total: 9m 26s	remaining: 4m 51s
330:	learn: 0.0306712	total: 9m 28s	remaining: 4m 50s
331:	learn: 0.0306680	total: 9m 31s	remaining: 4m 49s
332:	learn: 0.0306653	total: 9m 33s	remaining: 4m 47s
333:	learn: 0.0306601	total: 9m 35s	remaining: 4m 46s
334:	learn: 0.0306559	total: 9m 38s	remaining: 4m 44s
335:	learn: 0.0306534	total: 9m 41s	remaining: 4m 44s
336:	learn: 0.0306497	total: 9m 43s	remaining: 4m 42s
337:	learn: 0.0306473	total: 9m 45s	remaining: 4m 40s
338:	learn: 0.0306449	total: 9m 48s	remaining: 4m 39s
339:	learn: 0.0306410	total: 9m 50s	remaining: 4m 37s
340:	learn: 0.0306370	total: 9m 52s	remaining: 4m 36s
341:	learn: 0.0306339	total: 9m 56s	remaining: 4m 35s
342:	learn: 0.0306313	total: 9m 58s	remaining: 4m 34s
343:	learn: 0.0306277	total: 10m 1s	remaining: 4m 32s
344:	learn: 0.0306255	total: 10m 4s	remaining: 4m 31s
345:	learn: 0.0306214	total: 10m 7s	remaining: 4m 30s
346:	learn: 0.0306166	total: 10m 8s	remaining: 4m 28s
347:	learn: 0.0306129	total: 10m 11s	remaining: 4m 27s
348:	learn: 0.0306097	total: 10m 15s	remaining: 4m 26s
349:	learn: 0.0306040	total: 10m 17s	remaining: 4m 24s
350:	learn: 0.0306003	total: 10m 20s	remaining: 4m 23s
351:	learn: 0.0305982	total: 10m 22s	remaining: 4m 21s
352:	learn: 0.0305932	total: 10m 26s	remaining: 4m 21s
353:	learn: 0.0305915	total: 10m 29s	remaining: 4m 19s
