202:	learn: 0.2076169	total: 9m 25s	remaining: 13m 47s
203:	learn: 0.2069717	total: 9m 27s	remaining: 13m 43s
204:	learn: 0.2062958	total: 9m 30s	remaining: 13m 40s
205:	learn: 0.2055935	total: 9m 32s	remaining: 13m 37s
206:	learn: 0.2048951	total: 9m 35s	remaining: 13m 34s
207:	learn: 0.2042366	total: 9m 38s	remaining: 13m 31s
208:	learn: 0.2035702	total: 9m 40s	remaining: 13m 28s
209:	learn: 0.2029126	total: 9m 43s	remaining: 13m 25s
210:	learn: 0.2022299	total: 9m 46s	remaining: 13m 22s
211:	learn: 0.2015943	total: 9m 48s	remaining: 13m 19s
212:	learn: 0.2009155	total: 9m 51s	remaining: 13m 16s
213:	learn: 0.2003051	total: 9m 53s	remaining: 13m 13s
214:	learn: 0.1996619	total: 9m 56s	remaining: 13m 10s
215:	learn: 0.1990332	total: 9m 58s	remaining: 13m 7s
216:	learn: 0.1984031	total: 10m 1s	remaining: 13m 4s
217:	learn: 0.1977733	total: 10m 3s	remaining: 13m 1s
218:	learn: 0.1971943	total: 10m 6s	remaining: 12m 57s
219:	learn: 0.1965510	total: 10m 8s	remaining: 12m 54s
220:	learn: 0.1959032	total: 10m 11s	remaining: 12m 51s
221:	learn: 0.1952519	total: 10m 14s	remaining: 12m 49s
222:	learn: 0.1945796	total: 10m 16s	remaining: 12m 46s
223:	learn: 0.1939860	total: 10m 19s	remaining: 12m 43s
224:	learn: 0.1933794	total: 10m 21s	remaining: 12m 40s
225:	learn: 0.1927706	total: 10m 24s	remaining: 12m 37s
226:	learn: 0.1921622	total: 10m 27s	remaining: 12m 34s
227:	learn: 0.1915832	total: 10m 29s	remaining: 12m 31s
228:	learn: 0.1909897	total: 10m 32s	remaining: 12m 27s
229:	learn: 0.1904222	total: 10m 34s	remaining: 12m 24s
230:	learn: 0.1898158	total: 10m 36s	remaining: 12m 21s
231:	learn: 0.1892064	total: 10m 39s	remaining: 12m 18s
232:	learn: 0.1886064	total: 10m 42s	remaining: 12m 15s
233:	learn: 0.1880418	total: 10m 44s	remaining: 12m 12s
234:	learn: 0.1874647	total: 10m 46s	remaining: 12m 9s
235:	learn: 0.1868951	total: 10m 49s	remaining: 12m 6s
236:	learn: 0.1863130	total: 10m 51s	remaining: 12m 3s
237:	learn: 0.1857522	total: 10m 54s	remaining: 12m
238:	learn: 0.1851678	total: 10m 56s	remaining: 11m 57s
239:	learn: 0.1846064	total: 10m 59s	remaining: 11m 54s
240:	learn: 0.1840164	total: 11m 1s	remaining: 11m 51s
241:	learn: 0.1834490	total: 11m 4s	remaining: 11m 48s
242:	learn: 0.1829185	total: 11m 6s	remaining: 11m 45s
243:	learn: 0.1823573	total: 11m 9s	remaining: 11m 42s
244:	learn: 0.1817979	total: 11m 11s	remaining: 11m 39s
245:	learn: 0.1812767	total: 11m 14s	remaining: 11m 36s
246:	learn: 0.1807323	total: 11m 16s	remaining: 11m 32s
247:	learn: 0.1801545	total: 11m 18s	remaining: 11m 29s
