243:	learn: 0.0241532	total: 15m 42s	remaining: 16m 28s
244:	learn: 0.0241403	total: 15m 46s	remaining: 16m 24s
245:	learn: 0.0241280	total: 15m 54s	remaining: 16m 25s
246:	learn: 0.0241208	total: 15m 56s	remaining: 16m 20s
247:	learn: 0.0241097	total: 16m	remaining: 16m 16s
248:	learn: 0.0241015	total: 16m 1s	remaining: 16m 9s
249:	learn: 0.0240907	total: 16m 4s	remaining: 16m 4s
250:	learn: 0.0240758	total: 16m 7s	remaining: 15m 59s
251:	learn: 0.0240680	total: 16m 8s	remaining: 15m 52s
252:	learn: 0.0240607	total: 16m 10s	remaining: 15m 47s
253:	learn: 0.0240530	total: 16m 11s	remaining: 15m 40s
254:	learn: 0.0240456	total: 16m 17s	remaining: 15m 38s
255:	learn: 0.0240312	total: 16m 21s	remaining: 15m 35s
256:	learn: 0.0240135	total: 16m 26s	remaining: 15m 33s
257:	learn: 0.0240064	total: 16m 30s	remaining: 15m 28s
258:	learn: 0.0239993	total: 16m 33s	remaining: 15m 24s
259:	learn: 0.0239905	total: 16m 35s	remaining: 15m 18s
260:	learn: 0.0239701	total: 16m 37s	remaining: 15m 13s
261:	learn: 0.0239523	total: 16m 40s	remaining: 15m 8s
262:	learn: 0.0239460	total: 16m 41s	remaining: 15m 2s
263:	learn: 0.0239379	total: 16m 45s	remaining: 14m 58s
264:	learn: 0.0239255	total: 16m 47s	remaining: 14m 53s
265:	learn: 0.0239183	total: 16m 52s	remaining: 14m 50s
266:	learn: 0.0239045	total: 16m 55s	remaining: 14m 46s
267:	learn: 0.0238973	total: 17m 3s	remaining: 14m 45s
268:	learn: 0.0238755	total: 17m 6s	remaining: 14m 41s
269:	learn: 0.0238684	total: 17m 7s	remaining: 14m 35s
270:	learn: 0.0238593	total: 17m 9s	remaining: 14m 29s
271:	learn: 0.0238412	total: 17m 11s	remaining: 14m 24s
272:	learn: 0.0238301	total: 17m 13s	remaining: 14m 19s
273:	learn: 0.0238226	total: 17m 16s	remaining: 14m 14s
274:	learn: 0.0238029	total: 17m 18s	remaining: 14m 9s
275:	learn: 0.0237939	total: 17m 21s	remaining: 14m 5s
276:	learn: 0.0237879	total: 17m 23s	remaining: 14m
277:	learn: 0.0237816	total: 17m 25s	remaining: 13m 54s
278:	learn: 0.0237701	total: 17m 26s	remaining: 13m 49s
279:	learn: 0.0237549	total: 17m 28s	remaining: 13m 43s
280:	learn: 0.0237477	total: 17m 29s	remaining: 13m 38s
281:	learn: 0.0237389	total: 17m 36s	remaining: 13m 36s
282:	learn: 0.0237303	total: 17m 40s	remaining: 13m 33s
283:	learn: 0.0237234	total: 17m 42s	remaining: 13m 27s
284:	learn: 0.0237020	total: 17m 43s	remaining: 13m 22s
285:	learn: 0.0236947	total: 17m 45s	remaining: 13m 17s
286:	learn: 0.0236883	total: 17m 46s	remaining: 13m 11s
287:	learn: 0.0236807	total: 17m 47s	remaining: 13m 6s
288:	learn: 0.0236762	total: 17m 49s	remaining: 13m 1s
289:	learn: 0.0236637	total: 17m 51s	remaining: 12m 56s
290:	learn: 0.0236535	total: 17m 54s	remaining: 12m 52s
291:	learn: 0.0236430	total: 17m 57s	remaining: 12m 47s
292:	learn: 0.0236260	total: 17m 59s	remaining: 12m 42s
293:	learn: 0.0236217	total: 18m 1s	remaining: 12m 37s
294:	learn: 0.0236090	total: 18m 3s	remaining: 12m 32s
