215:	learn: 0.0305110	total: 9.74s	remaining: 12.8s
216:	learn: 0.0305014	total: 9.78s	remaining: 12.8s
217:	learn: 0.0304903	total: 9.83s	remaining: 12.7s
218:	learn: 0.0304803	total: 9.88s	remaining: 12.7s
219:	learn: 0.0304688	total: 9.93s	remaining: 12.6s
220:	learn: 0.0304579	total: 9.98s	remaining: 12.6s
221:	learn: 0.0304483	total: 10s	remaining: 12.6s
222:	learn: 0.0304373	total: 10.1s	remaining: 12.5s
223:	learn: 0.0304271	total: 10.1s	remaining: 12.5s
224:	learn: 0.0304183	total: 10.2s	remaining: 12.5s
225:	learn: 0.0304083	total: 10.2s	remaining: 12.4s
226:	learn: 0.0303994	total: 10.3s	remaining: 12.4s
227:	learn: 0.0303889	total: 10.3s	remaining: 12.3s
228:	learn: 0.0303786	total: 10.4s	remaining: 12.3s
229:	learn: 0.0303696	total: 10.4s	remaining: 12.3s
230:	learn: 0.0303611	total: 10.5s	remaining: 12.2s
231:	learn: 0.0303514	total: 10.5s	remaining: 12.2s
232:	learn: 0.0303430	total: 10.6s	remaining: 12.1s
233:	learn: 0.0303341	total: 10.6s	remaining: 12.1s
234:	learn: 0.0303253	total: 10.7s	remaining: 12s
235:	learn: 0.0303165	total: 10.7s	remaining: 12s
236:	learn: 0.0303072	total: 10.8s	remaining: 12s
237:	learn: 0.0302986	total: 10.8s	remaining: 11.9s
238:	learn: 0.0302895	total: 10.9s	remaining: 11.9s
239:	learn: 0.0302816	total: 10.9s	remaining: 11.8s
240:	learn: 0.0302729	total: 11s	remaining: 11.8s
241:	learn: 0.0302639	total: 11s	remaining: 11.8s
242:	learn: 0.0302554	total: 11.1s	remaining: 11.7s
243:	learn: 0.0302464	total: 11.1s	remaining: 11.7s
244:	learn: 0.0302388	total: 11.2s	remaining: 11.6s
245:	learn: 0.0302306	total: 11.2s	remaining: 11.6s
246:	learn: 0.0302210	total: 11.3s	remaining: 11.6s
247:	learn: 0.0302131	total: 11.3s	remaining: 11.5s
248:	learn: 0.0302055	total: 11.4s	remaining: 11.5s
249:	learn: 0.0301967	total: 11.4s	remaining: 11.4s
250:	learn: 0.0301893	total: 11.5s	remaining: 11.4s
251:	learn: 0.0301806	total: 11.5s	remaining: 11.4s
252:	learn: 0.0301716	total: 11.6s	remaining: 11.3s
253:	learn: 0.0301629	total: 11.6s	remaining: 11.3s
254:	learn: 0.0301547	total: 11.7s	remaining: 11.2s
255:	learn: 0.0301469	total: 11.7s	remaining: 11.2s
256:	learn: 0.0301381	total: 11.8s	remaining: 11.2s
257:	learn: 0.0301303	total: 11.8s	remaining: 11.1s
258:	learn: 0.0301220	total: 11.9s	remaining: 11.1s
259:	learn: 0.0301134	total: 11.9s	remaining: 11s
260:	learn: 0.0301064	total: 12s	remaining: 11s
261:	learn: 0.0301001	total: 12s	remaining: 10.9s
262:	learn: 0.0300917	total: 12.1s	remaining: 10.9s
263:	learn: 0.0300853	total: 12.1s	remaining: 10.8s
264:	learn: 0.0300785	total: 12.2s	remaining: 10.8s
265:	learn: 0.0300714	total: 12.2s	remaining: 10.7s
266:	learn: 0.0300640	total: 12.3s	remaining: 10.7s
267:	learn: 0.0300555	total: 12.3s	remaining: 10.7s
268:	learn: 0.0300476	total: 12.4s	remaining: 10.6s
269:	learn: 0.0300417	total: 12.4s	remaining: 10.6s
270:	learn: 0.0300356	total: 12.4s	remaining: 10.5s
271:	learn: 0.0300281	total: 12.5s	remaining: 10.5s
272:	learn: 0.0300210	total: 12.5s	remaining: 10.4s
273:	learn: 0.0300152	total: 12.6s	remaining: 10.4s
274:	learn: 0.0300075	total: 12.6s	remaining: 10.3s
275:	learn: 0.0300004	total: 12.7s	remaining: 10.3s
276:	learn: 0.0299948	total: 12.7s	remaining: 10.2s
277:	learn: 0.0299887	total: 12.8s	remaining: 10.2s
278:	learn: 0.0299824	total: 12.8s	remaining: 10.2s
279:	learn: 0.0299767	total: 12.9s	remaining: 10.1s
280:	learn: 0.0299705	total: 12.9s	remaining: 10.1s
281:	learn: 0.0299642	total: 12.9s	remaining: 10s
282:	learn: 0.0299580	total: 13s	remaining: 9.95s
283:	learn: 0.0299529	total: 13s	remaining: 9.9s
284:	learn: 0.0299457	total: 13.1s	remaining: 9.87s
285:	learn: 0.0299380	total: 13.1s	remaining: 9.83s
286:	learn: 0.0299330	total: 13.2s	remaining: 9.78s
287:	learn: 0.0299250	total: 13.2s	remaining: 9.74s
288:	learn: 0.0299188	total: 13.3s	remaining: 9.69s
289:	learn: 0.0299132	total: 13.3s	remaining: 9.64s
290:	learn: 0.0299075	total: 13.4s	remaining: 9.6s
291:	learn: 0.0299014	total: 13.4s	remaining: 9.55s
292:	learn: 0.0298949	total: 13.5s	remaining: 9.5s
293:	learn: 0.0298886	total: 13.5s	remaining: 9.46s
294:	learn: 0.0298827	total: 13.5s	remaining: 9.41s
295:	learn: 0.0298766	total: 13.6s	remaining: 9.36s
296:	learn: 0.0298698	total: 13.6s	remaining: 9.32s
297:	learn: 0.0298640	total: 13.7s	remaining: 9.27s
298:	learn: 0.0298570	total: 13.7s	remaining: 9.22s
299:	learn: 0.0298510	total: 13.8s	remaining: 9.18s
300:	learn: 0.0298448	total: 13.8s	remaining: 9.13s
301:	learn: 0.0298395	total: 13.9s	remaining: 9.09s
302:	learn: 0.0298334	total: 13.9s	remaining: 9.04s
303:	learn: 0.0298270	total: 13.9s	remaining: 8.99s
304:	learn: 0.0298209	total: 14s	remaining: 8.94s
305:	learn: 0.0298156	total: 14s	remaining: 8.89s
306:	learn: 0.0298087	total: 14.1s	remaining: 8.85s
307:	learn: 0.0298043	total: 14.1s	remaining: 8.8s
308:	learn: 0.0297981	total: 14.2s	remaining: 8.75s
309:	learn: 0.0297928	total: 14.2s	remaining: 8.7s
310:	learn: 0.0297871	total: 14.2s	remaining: 8.65s
311:	learn: 0.0297802	total: 14.3s	remaining: 8.61s
312:	learn: 0.0297746	total: 14.3s	remaining: 8.56s
313:	learn: 0.0297678	total: 14.4s	remaining: 8.52s
314:	learn: 0.0297618	total: 14.4s	remaining: 8.47s
315:	learn: 0.0297559	total: 14.5s	remaining: 8.42s
316:	learn: 0.0297502	total: 14.5s	remaining: 8.37s
317:	learn: 0.0297437	total: 14.5s	remaining: 8.33s
318:	learn: 0.0297382	total: 14.6s	remaining: 8.28s
319:	learn: 0.0297333	total: 14.6s	remaining: 8.23s
320:	learn: 0.0297270	total: 14.7s	remaining: 8.18s
