444:	learn: 5.9302486	total: 29.5s	remaining: 3.64s
445:	learn: 5.9248539	total: 29.5s	remaining: 3.58s
446:	learn: 5.9192721	total: 29.6s	remaining: 3.51s
447:	learn: 5.9169006	total: 29.7s	remaining: 3.44s
448:	learn: 5.9131867	total: 29.7s	remaining: 3.38s
449:	learn: 5.9110466	total: 29.8s	remaining: 3.31s
450:	learn: 5.9081884	total: 29.8s	remaining: 3.24s
451:	learn: 5.9052043	total: 29.9s	remaining: 3.17s
452:	learn: 5.9028280	total: 30s	remaining: 3.11s
453:	learn: 5.8990066	total: 30s	remaining: 3.04s
454:	learn: 5.8941264	total: 30.1s	remaining: 2.98s
455:	learn: 5.8899310	total: 30.2s	remaining: 2.91s
