303:	learn: 0.0298226	total: 14s	remaining: 9.02s
304:	learn: 0.0298159	total: 14s	remaining: 8.97s
305:	learn: 0.0298102	total: 14.1s	remaining: 8.93s
306:	learn: 0.0298057	total: 14.2s	remaining: 8.92s
307:	learn: 0.0297995	total: 14.2s	remaining: 8.88s
308:	learn: 0.0297939	total: 14.3s	remaining: 8.83s
309:	learn: 0.0297881	total: 14.3s	remaining: 8.78s
310:	learn: 0.0297826	total: 14.4s	remaining: 8.73s
311:	learn: 0.0297761	total: 14.4s	remaining: 8.68s
312:	learn: 0.0297710	total: 14.5s	remaining: 8.64s
313:	learn: 0.0297646	total: 14.5s	remaining: 8.61s
314:	learn: 0.0297591	total: 14.6s	remaining: 8.56s
315:	learn: 0.0297539	total: 14.6s	remaining: 8.51s
316:	learn: 0.0297482	total: 14.7s	remaining: 8.46s
317:	learn: 0.0297425	total: 14.7s	remaining: 8.41s
318:	learn: 0.0297381	total: 14.7s	remaining: 8.36s
319:	learn: 0.0297329	total: 14.8s	remaining: 8.31s
320:	learn: 0.0297275	total: 14.8s	remaining: 8.26s
321:	learn: 0.0297224	total: 14.9s	remaining: 8.21s
322:	learn: 0.0297172	total: 14.9s	remaining: 8.16s
323:	learn: 0.0297117	total: 14.9s	remaining: 8.11s
324:	learn: 0.0297060	total: 15s	remaining: 8.06s
325:	learn: 0.0297025	total: 15s	remaining: 8.01s
326:	learn: 0.0296968	total: 15.1s	remaining: 7.96s
327:	learn: 0.0296917	total: 15.1s	remaining: 7.91s
328:	learn: 0.0296883	total: 15.1s	remaining: 7.86s
329:	learn: 0.0296850	total: 15.2s	remaining: 7.81s
330:	learn: 0.0296796	total: 15.2s	remaining: 7.76s
331:	learn: 0.0296759	total: 15.2s	remaining: 7.71s
332:	learn: 0.0296703	total: 15.3s	remaining: 7.66s
333:	learn: 0.0296666	total: 15.3s	remaining: 7.61s
334:	learn: 0.0296621	total: 15.3s	remaining: 7.56s
335:	learn: 0.0296573	total: 15.4s	remaining: 7.51s
336:	learn: 0.0296535	total: 15.4s	remaining: 7.46s
337:	learn: 0.0296491	total: 15.5s	remaining: 7.41s
338:	learn: 0.0296451	total: 15.5s	remaining: 7.36s
339:	learn: 0.0296402	total: 15.5s	remaining: 7.31s
340:	learn: 0.0296362	total: 15.6s	remaining: 7.26s
341:	learn: 0.0296322	total: 15.6s	remaining: 7.21s
342:	learn: 0.0296276	total: 15.6s	remaining: 7.16s
343:	learn: 0.0296221	total: 15.7s	remaining: 7.11s
344:	learn: 0.0296165	total: 15.7s	remaining: 7.06s
345:	learn: 0.0296120	total: 15.8s	remaining: 7.01s
346:	learn: 0.0296066	total: 15.8s	remaining: 6.96s
347:	learn: 0.0296026	total: 15.8s	remaining: 6.91s
348:	learn: 0.0295973	total: 15.9s	remaining: 6.87s
349:	learn: 0.0295932	total: 15.9s	remaining: 6.82s
