Default metric period is 5 because NDCG is/are not implemented for GPU
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
424:	total: 51s	remaining: 9s
425:	total: 51.1s	remaining: 8.88s
426:	total: 51.2s	remaining: 8.76s
427:	total: 51.3s	remaining: 8.63s
428:	total: 51.4s	remaining: 8.51s
429:	total: 51.5s	remaining: 8.39s
430:	total: 51.7s	remaining: 8.27s
431:	total: 51.8s	remaining: 8.15s
432:	total: 51.9s	remaining: 8.03s
433:	total: 52s	remaining: 7.9s
434:	total: 52.1s	remaining: 7.78s
435:	total: 52.2s	remaining: 7.66s
436:	total: 52.3s	remaining: 7.54s
437:	total: 52.4s	remaining: 7.42s
438:	total: 52.5s	remaining: 7.3s
439:	total: 52.7s	remaining: 7.18s
440:	total: 52.8s	remaining: 7.06s
441:	total: 52.9s	remaining: 6.94s
442:	total: 53s	remaining: 6.82s
443:	total: 53.1s	remaining: 6.7s
444:	total: 53.3s	remaining: 6.58s
445:	total: 53.4s	remaining: 6.46s
446:	total: 53.5s	remaining: 6.34s
447:	total: 53.6s	remaining: 6.22s
448:	total: 53.7s	remaining: 6.1s
449:	total: 53.8s	remaining: 5.98s
450:	total: 53.9s	remaining: 5.86s
451:	total: 54s	remaining: 5.74s
452:	total: 54.1s	remaining: 5.62s
453:	total: 54.3s	remaining: 5.5s
454:	total: 54.4s	remaining: 5.38s
455:	total: 54.5s	remaining: 5.26s
456:	total: 54.6s	remaining: 5.14s
457:	total: 54.7s	remaining: 5.02s
458:	total: 54.8s	remaining: 4.9s
459:	total: 54.9s	remaining: 4.78s
460:	total: 55s	remaining: 4.66s
461:	total: 55.1s	remaining: 4.54s
462:	total: 55.3s	remaining: 4.42s
463:	total: 55.4s	remaining: 4.29s
464:	total: 55.5s	remaining: 4.17s
465:	total: 55.6s	remaining: 4.05s
466:	total: 55.7s	remaining: 3.93s
467:	total: 55.8s	remaining: 3.81s
468:	total: 55.9s	remaining: 3.69s
469:	total: 56s	remaining: 3.58s
470:	total: 56.1s	remaining: 3.46s
471:	total: 56.2s	remaining: 3.33s
472:	total: 56.3s	remaining: 3.22s
473:	total: 56.4s	remaining: 3.1s
474:	total: 56.6s	remaining: 2.98s
475:	total: 56.7s	remaining: 2.86s
476:	total: 56.8s	remaining: 2.74s
477:	total: 56.9s	remaining: 2.62s
478:	total: 57s	remaining: 2.5s
479:	total: 57.1s	remaining: 2.38s
480:	total: 57.2s	remaining: 2.26s
481:	total: 57.3s	remaining: 2.14s
482:	total: 57.4s	remaining: 2.02s
483:	total: 57.5s	remaining: 1.9s
484:	total: 57.7s	remaining: 1.78s
485:	total: 57.8s	remaining: 1.66s
486:	total: 57.9s	remaining: 1.54s
487:	total: 58s	remaining: 1.43s
488:	total: 58.1s	remaining: 1.31s
489:	total: 58.2s	remaining: 1.19s
490:	total: 58.3s	remaining: 1.07s
491:	total: 58.4s	remaining: 950ms
492:	total: 58.5s	remaining: 831ms
493:	total: 58.7s	remaining: 713ms
494:	total: 58.8s	remaining: 594ms
495:	total: 58.9s	remaining: 475ms
496:	total: 59s	remaining: 356ms
497:	total: 59.1s	remaining: 237ms
498:	total: 59.2s	remaining: 119ms
499:	total: 59.3s	remaining: 0us
Skipping test eval output
1.094887106 min passed
