275:	test: 0.9301357	best: 0.9553908 (24)	total: 24m 55s	remaining: 20m 14s
276:	test: 0.9301217	best: 0.9553908 (24)	total: 24m 59s	remaining: 20m 7s
277:	test: 0.9300881	best: 0.9553908 (24)	total: 25m 2s	remaining: 19m 59s
278:	test: 0.9300852	best: 0.9553908 (24)	total: 25m 5s	remaining: 19m 52s
279:	test: 0.9299501	best: 0.9553908 (24)	total: 25m 8s	remaining: 19m 45s
280:	test: 0.9299319	best: 0.9553908 (24)	total: 25m 12s	remaining: 19m 38s
281:	test: 0.9299362	best: 0.9553908 (24)	total: 25m 16s	remaining: 19m 31s
282:	test: 0.9299586	best: 0.9553908 (24)	total: 25m 18s	remaining: 19m 24s
283:	test: 0.9299590	best: 0.9553908 (24)	total: 25m 20s	remaining: 19m 16s
284:	test: 0.9299564	best: 0.9553908 (24)	total: 25m 26s	remaining: 19m 11s
285:	test: 0.9299557	best: 0.9553908 (24)	total: 25m 28s	remaining: 19m 3s
286:	test: 0.9298817	best: 0.9553908 (24)	total: 25m 35s	remaining: 18m 59s
287:	test: 0.9298896	best: 0.9553908 (24)	total: 25m 40s	remaining: 18m 53s
288:	test: 0.9298174	best: 0.9553908 (24)	total: 25m 44s	remaining: 18m 47s
289:	test: 0.9298094	best: 0.9553908 (24)	total: 25m 48s	remaining: 18m 41s
290:	test: 0.9298078	best: 0.9553908 (24)	total: 25m 53s	remaining: 18m 35s
291:	test: 0.9297029	best: 0.9553908 (24)	total: 25m 58s	remaining: 18m 29s
292:	test: 0.9297038	best: 0.9553908 (24)	total: 26m 3s	remaining: 18m 24s
293:	test: 0.9296951	best: 0.9553908 (24)	total: 26m 6s	remaining: 18m 17s
294:	test: 0.9296944	best: 0.9553908 (24)	total: 26m 11s	remaining: 18m 11s
295:	test: 0.9296776	best: 0.9553908 (24)	total: 26m 13s	remaining: 18m 4s
296:	test: 0.9296769	best: 0.9553908 (24)	total: 26m 17s	remaining: 17m 58s
297:	test: 0.9296652	best: 0.9553908 (24)	total: 26m 20s	remaining: 17m 51s
298:	test: 0.9296344	best: 0.9553908 (24)	total: 26m 22s	remaining: 17m 44s
299:	test: 0.9296181	best: 0.9553908 (24)	total: 26m 27s	remaining: 17m 38s
300:	test: 0.9297267	best: 0.9553908 (24)	total: 26m 34s	remaining: 17m 34s
301:	test: 0.9297495	best: 0.9553908 (24)	total: 26m 37s	remaining: 17m 27s
302:	test: 0.9297254	best: 0.9553908 (24)	total: 26m 40s	remaining: 17m 20s
303:	test: 0.9297274	best: 0.9553908 (24)	total: 26m 43s	remaining: 17m 13s
304:	test: 0.9297419	best: 0.9553908 (24)	total: 26m 49s	remaining: 17m 9s
305:	test: 0.9297368	best: 0.9553908 (24)	total: 26m 52s	remaining: 17m 2s
306:	test: 0.9295573	best: 0.9553908 (24)	total: 26m 56s	remaining: 16m 56s
307:	test: 0.9295570	best: 0.9553908 (24)	total: 26m 58s	remaining: 16m 49s
308:	test: 0.9295223	best: 0.9553908 (24)	total: 27m 1s	remaining: 16m 42s
309:	test: 0.9295385	best: 0.9553908 (24)	total: 27m 5s	remaining: 16m 36s
310:	test: 0.9295466	best: 0.9553908 (24)	total: 27m 8s	remaining: 16m 29s
311:	test: 0.9295522	best: 0.9553908 (24)	total: 27m 11s	remaining: 16m 23s
