243:	test: 0.7127455	best: 0.7127455 (243)	total: 12.4s	remaining: 13s
244:	test: 0.7128637	best: 0.7128637 (244)	total: 12.4s	remaining: 13s
245:	test: 0.7128434	best: 0.7128637 (244)	total: 12.5s	remaining: 12.9s
246:	test: 0.7128658	best: 0.7128658 (246)	total: 12.6s	remaining: 12.9s
247:	test: 0.7129576	best: 0.7129576 (247)	total: 12.6s	remaining: 12.8s
248:	test: 0.7129417	best: 0.7129576 (247)	total: 12.7s	remaining: 12.8s
249:	test: 0.7129852	best: 0.7129852 (249)	total: 12.7s	remaining: 12.7s
250:	test: 0.7131071	best: 0.7131071 (250)	total: 12.8s	remaining: 12.7s
251:	test: 0.7130983	best: 0.7131071 (250)	total: 12.8s	remaining: 12.6s
252:	test: 0.7131321	best: 0.7131321 (252)	total: 12.9s	remaining: 12.6s
253:	test: 0.7134519	best: 0.7134519 (253)	total: 12.9s	remaining: 12.5s
254:	test: 0.7134836	best: 0.7134836 (254)	total: 13s	remaining: 12.5s
255:	test: 0.7134681	best: 0.7134836 (254)	total: 13s	remaining: 12.4s
256:	test: 0.7135684	best: 0.7135684 (256)	total: 13.1s	remaining: 12.4s
257:	test: 0.7134486	best: 0.7135684 (256)	total: 13.1s	remaining: 12.3s
258:	test: 0.7132582	best: 0.7135684 (256)	total: 13.2s	remaining: 12.2s
259:	test: 0.7131629	best: 0.7135684 (256)	total: 13.2s	remaining: 12.2s
260:	test: 0.7131561	best: 0.7135684 (256)	total: 13.3s	remaining: 12.2s
261:	test: 0.7130218	best: 0.7135684 (256)	total: 13.3s	remaining: 12.1s
262:	test: 0.7130516	best: 0.7135684 (256)	total: 13.4s	remaining: 12.1s
263:	test: 0.7130825	best: 0.7135684 (256)	total: 13.4s	remaining: 12s
264:	test: 0.7131568	best: 0.7135684 (256)	total: 13.5s	remaining: 12s
265:	test: 0.7131528	best: 0.7135684 (256)	total: 13.6s	remaining: 11.9s
266:	test: 0.7131065	best: 0.7135684 (256)	total: 13.6s	remaining: 11.9s
267:	test: 0.7131876	best: 0.7135684 (256)	total: 13.7s	remaining: 11.8s
268:	test: 0.7133028	best: 0.7135684 (256)	total: 13.7s	remaining: 11.8s
269:	test: 0.7132466	best: 0.7135684 (256)	total: 13.8s	remaining: 11.7s
270:	test: 0.7135348	best: 0.7135684 (256)	total: 13.8s	remaining: 11.7s
271:	test: 0.7135377	best: 0.7135684 (256)	total: 13.9s	remaining: 11.7s
272:	test: 0.7137148	best: 0.7137148 (272)	total: 14s	remaining: 11.6s
273:	test: 0.7137464	best: 0.7137464 (273)	total: 14s	remaining: 11.6s
274:	test: 0.7136744	best: 0.7137464 (273)	total: 14.1s	remaining: 11.5s
275:	test: 0.7138015	best: 0.7138015 (275)	total: 14.1s	remaining: 11.5s
276:	test: 0.7139198	best: 0.7139198 (276)	total: 14.2s	remaining: 11.4s
277:	test: 0.7139132	best: 0.7139198 (276)	total: 14.2s	remaining: 11.4s
278:	test: 0.7139279	best: 0.7139279 (278)	total: 14.3s	remaining: 11.3s
279:	test: 0.7137547	best: 0.7139279 (278)	total: 14.3s	remaining: 11.3s
280:	test: 0.7136615	best: 0.7139279 (278)	total: 14.4s	remaining: 11.2s
281:	test: 0.7137161	best: 0.7139279 (278)	total: 14.4s	remaining: 11.2s
282:	test: 0.7136914	best: 0.7139279 (278)	total: 14.5s	remaining: 11.1s
283:	test: 0.7136207	best: 0.7139279 (278)	total: 14.5s	remaining: 11s
284:	test: 0.7136953	best: 0.7139279 (278)	total: 14.6s	remaining: 11s
285:	test: 0.7136814	best: 0.7139279 (278)	total: 14.6s	remaining: 10.9s
286:	test: 0.7137632	best: 0.7139279 (278)	total: 14.6s	remaining: 10.9s
287:	test: 0.7137106	best: 0.7139279 (278)	total: 14.7s	remaining: 10.8s
288:	test: 0.7137739	best: 0.7139279 (278)	total: 14.8s	remaining: 10.8s
289:	test: 0.7136579	best: 0.7139279 (278)	total: 14.8s	remaining: 10.7s
