240:	test: 0.9444771	best: 0.9444771 (240)	total: 52.5s	remaining: 56.4s
241:	test: 0.9445297	best: 0.9445297 (241)	total: 52.7s	remaining: 56.2s
242:	test: 0.9445811	best: 0.9445811 (242)	total: 52.9s	remaining: 56s
243:	test: 0.9446250	best: 0.9446250 (243)	total: 53.1s	remaining: 55.7s
244:	test: 0.9446610	best: 0.9446610 (244)	total: 53.3s	remaining: 55.5s
245:	test: 0.9446882	best: 0.9446882 (245)	total: 53.6s	remaining: 55.3s
246:	test: 0.9447340	best: 0.9447340 (246)	total: 53.8s	remaining: 55.1s
247:	test: 0.9447768	best: 0.9447768 (247)	total: 54s	remaining: 54.8s
248:	test: 0.9447921	best: 0.9447921 (248)	total: 54.2s	remaining: 54.6s
249:	test: 0.9448153	best: 0.9448153 (249)	total: 54.4s	remaining: 54.4s
250:	test: 0.9448413	best: 0.9448413 (250)	total: 54.6s	remaining: 54.1s
251:	test: 0.9448689	best: 0.9448689 (251)	total: 54.8s	remaining: 53.9s
252:	test: 0.9449123	best: 0.9449123 (252)	total: 55s	remaining: 53.7s
253:	test: 0.9449764	best: 0.9449764 (253)	total: 55.2s	remaining: 53.5s
254:	test: 0.9450029	best: 0.9450029 (254)	total: 55.4s	remaining: 53.2s
255:	test: 0.9450368	best: 0.9450368 (255)	total: 55.6s	remaining: 53s
256:	test: 0.9450934	best: 0.9450934 (256)	total: 55.9s	remaining: 52.8s
257:	test: 0.9451255	best: 0.9451255 (257)	total: 56.1s	remaining: 52.6s
258:	test: 0.9451634	best: 0.9451634 (258)	total: 56.3s	remaining: 52.4s
259:	test: 0.9452049	best: 0.9452049 (259)	total: 56.5s	remaining: 52.2s
260:	test: 0.9452181	best: 0.9452181 (260)	total: 56.7s	remaining: 51.9s
261:	test: 0.9452630	best: 0.9452630 (261)	total: 56.9s	remaining: 51.7s
262:	test: 0.9453037	best: 0.9453037 (262)	total: 57.1s	remaining: 51.5s
263:	test: 0.9453510	best: 0.9453510 (263)	total: 57.3s	remaining: 51.3s
264:	test: 0.9453768	best: 0.9453768 (264)	total: 57.5s	remaining: 51s
265:	test: 0.9454198	best: 0.9454198 (265)	total: 57.8s	remaining: 50.8s
266:	test: 0.9454547	best: 0.9454547 (266)	total: 58s	remaining: 50.6s
267:	test: 0.9454769	best: 0.9454769 (267)	total: 58.2s	remaining: 50.4s
268:	test: 0.9455054	best: 0.9455054 (268)	total: 58.4s	remaining: 50.1s
269:	test: 0.9455467	best: 0.9455467 (269)	total: 58.6s	remaining: 49.9s
270:	test: 0.9455917	best: 0.9455917 (270)	total: 58.8s	remaining: 49.7s
271:	test: 0.9456084	best: 0.9456084 (271)	total: 59s	remaining: 49.5s
272:	test: 0.9456572	best: 0.9456572 (272)	total: 59.2s	remaining: 49.2s
273:	test: 0.9456933	best: 0.9456933 (273)	total: 59.4s	remaining: 49s
274:	test: 0.9457213	best: 0.9457213 (274)	total: 59.6s	remaining: 48.8s
275:	test: 0.9457389	best: 0.9457389 (275)	total: 59.8s	remaining: 48.6s
276:	test: 0.9457577	best: 0.9457577 (276)	total: 1m	remaining: 48.3s
277:	test: 0.9458054	best: 0.9458054 (277)	total: 1m	remaining: 48.1s
278:	test: 0.9458286	best: 0.9458286 (278)	total: 1m	remaining: 47.9s
279:	test: 0.9458600	best: 0.9458600 (279)	total: 1m	remaining: 47.7s
280:	test: 0.9458665	best: 0.9458665 (280)	total: 1m	remaining: 47.4s
281:	test: 0.9458961	best: 0.9458961 (281)	total: 1m 1s	remaining: 47.2s
282:	test: 0.9459310	best: 0.9459310 (282)	total: 1m 1s	remaining: 47s
283:	test: 0.9459650	best: 0.9459650 (283)	total: 1m 1s	remaining: 46.7s
284:	test: 0.9459934	best: 0.9459934 (284)	total: 1m 1s	remaining: 46.5s
285:	test: 0.9460235	best: 0.9460235 (285)	total: 1m 1s	remaining: 46.3s
286:	test: 0.9460582	best: 0.9460582 (286)	total: 1m 2s	remaining: 46.1s
287:	test: 0.9461033	best: 0.9461033 (287)	total: 1m 2s	remaining: 45.9s
288:	test: 0.9461340	best: 0.9461340 (288)	total: 1m 2s	remaining: 45.6s
289:	test: 0.9461534	best: 0.9461534 (289)	total: 1m 2s	remaining: 45.4s
290:	test: 0.9461805	best: 0.9461805 (290)	total: 1m 2s	remaining: 45.2s
291:	test: 0.9462216	best: 0.9462216 (291)	total: 1m 3s	remaining: 45s
292:	test: 0.9462346	best: 0.9462346 (292)	total: 1m 3s	remaining: 44.8s
293:	test: 0.9462895	best: 0.9462895 (293)	total: 1m 3s	remaining: 44.5s
294:	test: 0.9463151	best: 0.9463151 (294)	total: 1m 3s	remaining: 44.3s
295:	test: 0.9463326	best: 0.9463326 (295)	total: 1m 3s	remaining: 44.1s
296:	test: 0.9463502	best: 0.9463502 (296)	total: 1m 4s	remaining: 43.9s
297:	test: 0.9463724	best: 0.9463724 (297)	total: 1m 4s	remaining: 43.7s
298:	test: 0.9463933	best: 0.9463933 (298)	total: 1m 4s	remaining: 43.5s
299:	test: 0.9464283	best: 0.9464283 (299)	total: 1m 4s	remaining: 43.2s
300:	test: 0.9464496	best: 0.9464496 (300)	total: 1m 5s	remaining: 43s
301:	test: 0.9464635	best: 0.9464635 (301)	total: 1m 5s	remaining: 42.8s
302:	test: 0.9464911	best: 0.9464911 (302)	total: 1m 5s	remaining: 42.6s
303:	test: 0.9465165	best: 0.9465165 (303)	total: 1m 5s	remaining: 42.4s
304:	test: 0.9465406	best: 0.9465406 (304)	total: 1m 5s	remaining: 42.1s
305:	test: 0.9465551	best: 0.9465551 (305)	total: 1m 6s	remaining: 41.9s
306:	test: 0.9465557	best: 0.9465557 (306)	total: 1m 6s	remaining: 41.7s
307:	test: 0.9465949	best: 0.9465949 (307)	total: 1m 6s	remaining: 41.5s
308:	test: 0.9466174	best: 0.9466174 (308)	total: 1m 6s	remaining: 41.2s
309:	test: 0.9466337	best: 0.9466337 (309)	total: 1m 6s	remaining: 41s
310:	test: 0.9466482	best: 0.9466482 (310)	total: 1m 7s	remaining: 40.8s
311:	test: 0.9466569	best: 0.9466569 (311)	total: 1m 7s	remaining: 40.6s
312:	test: 0.9466839	best: 0.9466839 (312)	total: 1m 7s	remaining: 40.4s
313:	test: 0.9466981	best: 0.9466981 (313)	total: 1m 7s	remaining: 40.2s
314:	test: 0.9467234	best: 0.9467234 (314)	total: 1m 7s	remaining: 39.9s
315:	test: 0.9467592	best: 0.9467592 (315)	total: 1m 8s	remaining: 39.7s
316:	test: 0.9467652	best: 0.9467652 (316)	total: 1m 8s	remaining: 39.5s
317:	test: 0.9467871	best: 0.9467871 (317)	total: 1m 8s	remaining: 39.3s
318:	test: 0.9468051	best: 0.9468051 (318)	total: 1m 8s	remaining: 39s
319:	test: 0.9468255	best: 0.9468255 (319)	total: 1m 9s	remaining: 38.8s
320:	test: 0.9468406	best: 0.9468406 (320)	total: 1m 9s	remaining: 38.6s
