173:	learn: 7.1798067	test: 8.9747526	best: 8.9747526 (173)	total: 12s	remaining: 22.5s
174:	learn: 7.1715764	test: 8.9735777	best: 8.9735777 (174)	total: 12.1s	remaining: 22.4s
175:	learn: 7.1655190	test: 8.9733082	best: 8.9733082 (175)	total: 12.1s	remaining: 22.3s
176:	learn: 7.1592148	test: 8.9731142	best: 8.9731142 (176)	total: 12.2s	remaining: 22.2s
177:	learn: 7.1545926	test: 8.9731897	best: 8.9731142 (176)	total: 12.2s	remaining: 22.1s
178:	learn: 7.1496341	test: 8.9732904	best: 8.9731142 (176)	total: 12.3s	remaining: 22.1s
179:	learn: 7.1434639	test: 8.9737382	best: 8.9731142 (176)	total: 12.4s	remaining: 22s
180:	learn: 7.1374913	test: 8.9738262	best: 8.9731142 (176)	total: 12.4s	remaining: 21.9s
181:	learn: 7.1317142	test: 8.9736427	best: 8.9731142 (176)	total: 12.5s	remaining: 21.8s
182:	learn: 7.1249365	test: 8.9735092	best: 8.9731142 (176)	total: 12.6s	remaining: 21.7s
183:	learn: 7.1188436	test: 8.9732485	best: 8.9731142 (176)	total: 12.6s	remaining: 21.7s
184:	learn: 7.1116011	test: 8.9727237	best: 8.9727237 (184)	total: 12.7s	remaining: 21.6s
185:	learn: 7.1051383	test: 8.9725494	best: 8.9725494 (185)	total: 12.7s	remaining: 21.5s
186:	learn: 7.0997028	test: 8.9718875	best: 8.9718875 (186)	total: 12.8s	remaining: 21.4s
187:	learn: 7.0950710	test: 8.9721757	best: 8.9718875 (186)	total: 12.9s	remaining: 21.3s
188:	learn: 7.0906411	test: 8.9721347	best: 8.9718875 (186)	total: 12.9s	remaining: 21.3s
189:	learn: 7.0851534	test: 8.9723074	best: 8.9718875 (186)	total: 13s	remaining: 21.2s
190:	learn: 7.0784998	test: 8.9725308	best: 8.9718875 (186)	total: 13s	remaining: 21.1s
191:	learn: 7.0737864	test: 8.9730089	best: 8.9718875 (186)	total: 13.1s	remaining: 21s
192:	learn: 7.0681672	test: 8.9728409	best: 8.9718875 (186)	total: 13.2s	remaining: 21s
193:	learn: 7.0627319	test: 8.9721609	best: 8.9718875 (186)	total: 13.2s	remaining: 20.9s
194:	learn: 7.0574290	test: 8.9726277	best: 8.9718875 (186)	total: 13.3s	remaining: 20.8s
195:	learn: 7.0506792	test: 8.9733352	best: 8.9718875 (186)	total: 13.4s	remaining: 20.7s
196:	learn: 7.0452231	test: 8.9733195	best: 8.9718875 (186)	total: 13.4s	remaining: 20.6s
197:	learn: 7.0397002	test: 8.9730635	best: 8.9718875 (186)	total: 13.5s	remaining: 20.6s
198:	learn: 7.0337873	test: 8.9732645	best: 8.9718875 (186)	total: 13.6s	remaining: 20.5s
199:	learn: 7.0282843	test: 8.9729302	best: 8.9718875 (186)	total: 13.6s	remaining: 20.4s
200:	learn: 7.0229846	test: 8.9730384	best: 8.9718875 (186)	total: 13.7s	remaining: 20.3s
201:	learn: 7.0160907	test: 8.9734676	best: 8.9718875 (186)	total: 13.7s	remaining: 20.3s
202:	learn: 7.0099825	test: 8.9729836	best: 8.9718875 (186)	total: 13.8s	remaining: 20.2s
203:	learn: 7.0051911	test: 8.9727043	best: 8.9718875 (186)	total: 13.9s	remaining: 20.1s
204:	learn: 7.0006548	test: 8.9723910	best: 8.9718875 (186)	total: 13.9s	remaining: 20s
205:	learn: 6.9956347	test: 8.9725017	best: 8.9718875 (186)	total: 14s	remaining: 20s
206:	learn: 6.9895460	test: 8.9721244	best: 8.9718875 (186)	total: 14s	remaining: 19.9s
207:	learn: 6.9852968	test: 8.9722256	best: 8.9718875 (186)	total: 14.1s	remaining: 19.8s
208:	learn: 6.9797009	test: 8.9720689	best: 8.9718875 (186)	total: 14.2s	remaining: 19.7s
209:	learn: 6.9722425	test: 8.9711691	best: 8.9711691 (209)	total: 14.2s	remaining: 19.7s
210:	learn: 6.9667147	test: 8.9709592	best: 8.9709592 (210)	total: 14.3s	remaining: 19.6s
211:	learn: 6.9627226	test: 8.9707975	best: 8.9707975 (211)	total: 14.4s	remaining: 19.5s
