192:	test: 0.7085706	best: 0.7085706 (192)	total: 9s	remaining: 14.3s
193:	test: 0.7085380	best: 0.7085706 (192)	total: 9.06s	remaining: 14.3s
194:	test: 0.7086174	best: 0.7086174 (194)	total: 9.11s	remaining: 14.2s
195:	test: 0.7086357	best: 0.7086357 (195)	total: 9.16s	remaining: 14.2s
196:	test: 0.7087034	best: 0.7087034 (196)	total: 9.21s	remaining: 14.2s
197:	test: 0.7087217	best: 0.7087217 (197)	total: 9.26s	remaining: 14.1s
198:	test: 0.7086635	best: 0.7087217 (197)	total: 9.32s	remaining: 14.1s
199:	test: 0.7086652	best: 0.7087217 (197)	total: 9.37s	remaining: 14.1s
200:	test: 0.7085865	best: 0.7087217 (197)	total: 9.43s	remaining: 14s
201:	test: 0.7086220	best: 0.7087217 (197)	total: 9.48s	remaining: 14s
202:	test: 0.7086188	best: 0.7087217 (197)	total: 9.54s	remaining: 14s
203:	test: 0.7087435	best: 0.7087435 (203)	total: 9.59s	remaining: 13.9s
204:	test: 0.7088907	best: 0.7088907 (204)	total: 9.64s	remaining: 13.9s
205:	test: 0.7090821	best: 0.7090821 (205)	total: 9.7s	remaining: 13.8s
206:	test: 0.7092747	best: 0.7092747 (206)	total: 9.76s	remaining: 13.8s
207:	test: 0.7094349	best: 0.7094349 (207)	total: 9.82s	remaining: 13.8s
208:	test: 0.7094619	best: 0.7094619 (208)	total: 9.87s	remaining: 13.7s
209:	test: 0.7094064	best: 0.7094619 (208)	total: 9.92s	remaining: 13.7s
210:	test: 0.7093821	best: 0.7094619 (208)	total: 9.98s	remaining: 13.7s
211:	test: 0.7095204	best: 0.7095204 (211)	total: 10s	remaining: 13.6s
212:	test: 0.7095911	best: 0.7095911 (212)	total: 10.1s	remaining: 13.6s
213:	test: 0.7095089	best: 0.7095911 (212)	total: 10.1s	remaining: 13.6s
214:	test: 0.7095573	best: 0.7095911 (212)	total: 10.2s	remaining: 13.5s
215:	test: 0.7094659	best: 0.7095911 (212)	total: 10.3s	remaining: 13.5s
216:	test: 0.7097267	best: 0.7097267 (216)	total: 10.3s	remaining: 13.4s
217:	test: 0.7096309	best: 0.7097267 (216)	total: 10.4s	remaining: 13.4s
218:	test: 0.7097516	best: 0.7097516 (218)	total: 10.4s	remaining: 13.4s
219:	test: 0.7095769	best: 0.7097516 (218)	total: 10.5s	remaining: 13.3s
220:	test: 0.7096213	best: 0.7097516 (218)	total: 10.5s	remaining: 13.3s
221:	test: 0.7098560	best: 0.7098560 (221)	total: 10.6s	remaining: 13.2s
222:	test: 0.7096513	best: 0.7098560 (221)	total: 10.6s	remaining: 13.2s
223:	test: 0.7099313	best: 0.7099313 (223)	total: 10.7s	remaining: 13.1s
224:	test: 0.7100289	best: 0.7100289 (224)	total: 10.7s	remaining: 13.1s
225:	test: 0.7101381	best: 0.7101381 (225)	total: 10.8s	remaining: 13.1s
226:	test: 0.7102581	best: 0.7102581 (226)	total: 10.8s	remaining: 13s
227:	test: 0.7102970	best: 0.7102970 (227)	total: 10.9s	remaining: 13s
228:	test: 0.7103075	best: 0.7103075 (228)	total: 10.9s	remaining: 12.9s
229:	test: 0.7105818	best: 0.7105818 (229)	total: 11s	remaining: 12.9s
230:	test: 0.7105959	best: 0.7105959 (230)	total: 11s	remaining: 12.8s
231:	test: 0.7107709	best: 0.7107709 (231)	total: 11.1s	remaining: 12.8s
232:	test: 0.7108608	best: 0.7108608 (232)	total: 11.2s	remaining: 12.8s
233:	test: 0.7108777	best: 0.7108777 (233)	total: 11.2s	remaining: 12.7s
234:	test: 0.7108156	best: 0.7108777 (233)	total: 11.3s	remaining: 12.7s
235:	test: 0.7108586	best: 0.7108777 (233)	total: 11.3s	remaining: 12.7s
236:	test: 0.7107573	best: 0.7108777 (233)	total: 11.4s	remaining: 12.6s
237:	test: 0.7107532	best: 0.7108777 (233)	total: 11.5s	remaining: 12.6s
238:	test: 0.7107795	best: 0.7108777 (233)	total: 11.5s	remaining: 12.6s
239:	test: 0.7107251	best: 0.7108777 (233)	total: 11.6s	remaining: 12.5s
240:	test: 0.7106862	best: 0.7108777 (233)	total: 11.6s	remaining: 12.5s
241:	test: 0.7107201	best: 0.7108777 (233)	total: 11.7s	remaining: 12.5s
242:	test: 0.7106413	best: 0.7108777 (233)	total: 11.7s	remaining: 12.4s
243:	test: 0.7109089	best: 0.7109089 (243)	total: 11.8s	remaining: 12.4s
244:	test: 0.7109922	best: 0.7109922 (244)	total: 11.8s	remaining: 12.3s
245:	test: 0.7111047	best: 0.7111047 (245)	total: 11.9s	remaining: 12.3s
246:	test: 0.7111197	best: 0.7111197 (246)	total: 11.9s	remaining: 12.2s
247:	test: 0.7111315	best: 0.7111315 (247)	total: 12s	remaining: 12.2s
248:	test: 0.7114873	best: 0.7114873 (248)	total: 12s	remaining: 12.1s
249:	test: 0.7115434	best: 0.7115434 (249)	total: 12.1s	remaining: 12.1s
250:	test: 0.7115012	best: 0.7115434 (249)	total: 12.1s	remaining: 12s
251:	test: 0.7113544	best: 0.7115434 (249)	total: 12.2s	remaining: 12s
252:	test: 0.7114199	best: 0.7115434 (249)	total: 12.3s	remaining: 12s
253:	test: 0.7115710	best: 0.7115710 (253)	total: 12.3s	remaining: 11.9s
254:	test: 0.7115440	best: 0.7115710 (253)	total: 12.4s	remaining: 11.9s
255:	test: 0.7115163	best: 0.7115710 (253)	total: 12.4s	remaining: 11.8s
256:	test: 0.7115553	best: 0.7115710 (253)	total: 12.5s	remaining: 11.8s
257:	test: 0.7115821	best: 0.7115821 (257)	total: 12.5s	remaining: 11.7s
258:	test: 0.7114796	best: 0.7115821 (257)	total: 12.6s	remaining: 11.7s
259:	test: 0.7115444	best: 0.7115821 (257)	total: 12.6s	remaining: 11.7s
260:	test: 0.7116307	best: 0.7116307 (260)	total: 12.7s	remaining: 11.6s
261:	test: 0.7116888	best: 0.7116888 (261)	total: 12.8s	remaining: 11.6s
262:	test: 0.7116243	best: 0.7116888 (261)	total: 12.8s	remaining: 11.5s
263:	test: 0.7117591	best: 0.7117591 (263)	total: 12.8s	remaining: 11.5s
264:	test: 0.7116989	best: 0.7117591 (263)	total: 12.9s	remaining: 11.4s
265:	test: 0.7115920	best: 0.7117591 (263)	total: 12.9s	remaining: 11.4s
266:	test: 0.7116039	best: 0.7117591 (263)	total: 13s	remaining: 11.3s
267:	test: 0.7116683	best: 0.7117591 (263)	total: 13s	remaining: 11.3s
268:	test: 0.7116481	best: 0.7117591 (263)	total: 13.1s	remaining: 11.2s
269:	test: 0.7116013	best: 0.7117591 (263)	total: 13.1s	remaining: 11.2s
270:	test: 0.7116517	best: 0.7117591 (263)	total: 13.2s	remaining: 11.1s
271:	test: 0.7114923	best: 0.7117591 (263)	total: 13.2s	remaining: 11.1s
272:	test: 0.7114357	best: 0.7117591 (263)	total: 13.3s	remaining: 11s
273:	test: 0.7114816	best: 0.7117591 (263)	total: 13.3s	remaining: 11s
274:	test: 0.7114014	best: 0.7117591 (263)	total: 13.4s	remaining: 10.9s
275:	test: 0.7113425	best: 0.7117591 (263)	total: 13.4s	remaining: 10.9s
276:	test: 0.7112774	best: 0.7117591 (263)	total: 13.5s	remaining: 10.9s
277:	test: 0.7113131	best: 0.7117591 (263)	total: 13.5s	remaining: 10.8s
278:	test: 0.7114522	best: 0.7117591 (263)	total: 13.6s	remaining: 10.8s
279:	test: 0.7114265	best: 0.7117591 (263)	total: 13.6s	remaining: 10.7s
280:	test: 0.7114615	best: 0.7117591 (263)	total: 13.7s	remaining: 10.7s
281:	test: 0.7114156	best: 0.7117591 (263)	total: 13.7s	remaining: 10.6s
282:	test: 0.7114005	best: 0.7117591 (263)	total: 13.8s	remaining: 10.6s
283:	test: 0.7113552	best: 0.7117591 (263)	total: 13.8s	remaining: 10.5s
284:	test: 0.7113616	best: 0.7117591 (263)	total: 13.9s	remaining: 10.4s
285:	test: 0.7114871	best: 0.7117591 (263)	total: 13.9s	remaining: 10.4s
286:	test: 0.7116123	best: 0.7117591 (263)	total: 14s	remaining: 10.4s
287:	test: 0.7115397	best: 0.7117591 (263)	total: 14s	remaining: 10.3s
288:	test: 0.7114322	best: 0.7117591 (263)	total: 14s	remaining: 10.3s
289:	test: 0.7114824	best: 0.7117591 (263)	total: 14.1s	remaining: 10.2s
290:	test: 0.7114787	best: 0.7117591 (263)	total: 14.1s	remaining: 10.1s
291:	test: 0.7114972	best: 0.7117591 (263)	total: 14.2s	remaining: 10.1s
292:	test: 0.7113552	best: 0.7117591 (263)	total: 14.2s	remaining: 10.1s
293:	test: 0.7113658	best: 0.7117591 (263)	total: 14.3s	remaining: 10s
294:	test: 0.7113302	best: 0.7117591 (263)	total: 14.3s	remaining: 9.95s
295:	test: 0.7116081	best: 0.7117591 (263)	total: 14.4s	remaining: 9.9s
296:	test: 0.7114694	best: 0.7117591 (263)	total: 14.4s	remaining: 9.85s
297:	test: 0.7115045	best: 0.7117591 (263)	total: 14.5s	remaining: 9.8s
298:	test: 0.7115179	best: 0.7117591 (263)	total: 14.5s	remaining: 9.75s
299:	test: 0.7114766	best: 0.7117591 (263)	total: 14.6s	remaining: 9.7s
300:	test: 0.7113455	best: 0.7117591 (263)	total: 14.6s	remaining: 9.65s
301:	test: 0.7112031	best: 0.7117591 (263)	total: 14.6s	remaining: 9.6s
302:	test: 0.7112105	best: 0.7117591 (263)	total: 14.7s	remaining: 9.55s
303:	test: 0.7110639	best: 0.7117591 (263)	total: 14.7s	remaining: 9.5s
304:	test: 0.7110547	best: 0.7117591 (263)	total: 14.8s	remaining: 9.44s
305:	test: 0.7110859	best: 0.7117591 (263)	total: 14.8s	remaining: 9.39s
306:	test: 0.7109954	best: 0.7117591 (263)	total: 14.9s	remaining: 9.35s
307:	test: 0.7110210	best: 0.7117591 (263)	total: 14.9s	remaining: 9.3s
308:	test: 0.7110526	best: 0.7117591 (263)	total: 15s	remaining: 9.24s
309:	test: 0.7109812	best: 0.7117591 (263)	total: 15s	remaining: 9.19s
310:	test: 0.7109577	best: 0.7117591 (263)	total: 15s	remaining: 9.14s
311:	test: 0.7109927	best: 0.7117591 (263)	total: 15.1s	remaining: 9.09s
312:	test: 0.7108174	best: 0.7117591 (263)	total: 15.1s	remaining: 9.04s
313:	test: 0.7108520	best: 0.7117591 (263)	total: 15.2s	remaining: 8.99s
314:	test: 0.7108169	best: 0.7117591 (263)	total: 15.2s	remaining: 8.94s
315:	test: 0.7108807	best: 0.7117591 (263)	total: 15.3s	remaining: 8.89s
